TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,931,2969,0.18,2025-05-28 10:39:08
2,929,3029,0.24,2025-05-28 10:39:08
3,878,2800,0.12,2025-05-28 10:39:08
4,1119,3119,0.23,2025-05-28 10:39:08
5,945,2904,0.23,2025-05-28 10:39:08
6,1173,3003,0.17,2025-05-28 10:39:08
7,1031,2814,0.24,2025-05-28 10:39:08
8,1151,2921,0.13,2025-05-28 10:39:08
9,816,2844,0.27,2025-05-28 10:39:08
10,1154,2886,0.26,2025-05-28 10:39:08
11,991,2826,0.14,2025-05-28 10:39:08
12,1107,3186,0.29,2025-05-28 10:39:08
13,1092,3135,0.21,2025-05-28 10:39:08
14,947,3011,0.2,2025-05-28 10:39:08
15,1140,3012,0.21,2025-05-28 10:39:08
16,1111,3083,0.2,2025-05-28 10:39:08
17,1052,3131,0.3,2025-05-28 10:39:08
18,1074,3002,0.27,2025-05-28 10:39:08
19,850,2838,0.2,2025-05-28 10:39:08
20,934,2936,0.24,2025-05-28 10:39:08
21,1113,2937,0.16,2025-05-28 10:39:08
22,1010,2870,0.11,2025-05-28 10:39:08
23,985,3069,0.22,2025-05-28 10:39:08
24,811,3139,0.21,2025-05-28 10:39:08
25,1165,2921,0.13,2025-05-28 10:39:08
26,870,2973,0.28,2025-05-28 10:39:08
27,879,2884,0.19,2025-05-28 10:39:08
28,1088,2939,0.23,2025-05-28 10:39:08
29,1171,2934,0.12,2025-05-28 10:39:08
30,1010,3046,0.17,2025-05-28 10:39:08
