TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1197,2824,0.17,2025-05-28 10:39:08
2,806,2834,0.28,2025-05-28 10:39:08
3,1176,3115,0.2,2025-05-28 10:39:08
4,841,3014,0.29,2025-05-28 10:39:08
5,807,3103,0.15,2025-05-28 10:39:08
6,972,2866,0.14,2025-05-28 10:39:08
7,812,2984,0.27,2025-05-28 10:39:08
8,961,2811,0.29,2025-05-28 10:39:08
9,1145,3111,0.18,2025-05-28 10:39:08
10,824,2948,0.15,2025-05-28 10:39:08
11,1120,3149,0.27,2025-05-28 10:39:08
12,1144,3082,0.21,2025-05-28 10:39:08
13,1111,2986,0.28,2025-05-28 10:39:08
14,1157,2809,0.22,2025-05-28 10:39:08
15,920,3003,0.13,2025-05-28 10:39:08
16,1192,3175,0.11,2025-05-28 10:39:08
17,1145,3167,0.22,2025-05-28 10:39:08
18,1142,2903,0.23,2025-05-28 10:39:08
19,1068,2982,0.2,2025-05-28 10:39:08
20,1051,2930,0.24,2025-05-28 10:39:08
21,1188,2997,0.18,2025-05-28 10:39:08
22,1039,3050,0.12,2025-05-28 10:39:08
23,975,2853,0.17,2025-05-28 10:39:08
24,1007,2893,0.16,2025-05-28 10:39:08
25,839,3030,0.22,2025-05-28 10:39:08
26,984,2938,0.21,2025-05-28 10:39:08
27,818,3096,0.17,2025-05-28 10:39:08
28,1091,2892,0.19,2025-05-28 10:39:08
29,1038,2900,0.23,2025-05-28 10:39:08
30,1176,3033,0.12,2025-05-28 10:39:08
