TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,941,2815,0.26,2025-05-28 10:39:08
2,1126,2923,0.22,2025-05-28 10:39:08
3,1047,3063,0.28,2025-05-28 10:39:08
4,840,2843,0.16,2025-05-28 10:39:08
5,1014,2967,0.15,2025-05-28 10:39:08
6,912,3129,0.29,2025-05-28 10:39:08
7,824,2953,0.26,2025-05-28 10:39:08
8,1080,2830,0.27,2025-05-28 10:39:08
9,1163,3148,0.18,2025-05-28 10:39:08
10,871,3116,0.13,2025-05-28 10:39:08
11,965,3026,0.1,2025-05-28 10:39:08
12,1171,2935,0.13,2025-05-28 10:39:08
13,960,3026,0.12,2025-05-28 10:39:08
14,1097,3150,0.25,2025-05-28 10:39:08
15,1008,3008,0.16,2025-05-28 10:39:08
16,1151,3014,0.26,2025-05-28 10:39:08
17,879,3062,0.21,2025-05-28 10:39:08
18,1140,2909,0.18,2025-05-28 10:39:08
19,1171,2807,0.12,2025-05-28 10:39:08
20,896,3108,0.27,2025-05-28 10:39:08
21,856,2931,0.26,2025-05-28 10:39:08
22,1133,3146,0.21,2025-05-28 10:39:08
23,947,3036,0.15,2025-05-28 10:39:08
24,938,3144,0.22,2025-05-28 10:39:08
25,1162,3168,0.14,2025-05-28 10:39:08
26,1155,3116,0.16,2025-05-28 10:39:08
27,1018,2871,0.23,2025-05-28 10:39:08
28,1122,3164,0.11,2025-05-28 10:39:08
29,1166,2877,0.23,2025-05-28 10:39:08
30,925,3091,0.21,2025-05-28 10:39:08
