TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1166,3190,0.25,2025-05-28 10:39:08
2,961,3066,0.22,2025-05-28 10:39:08
3,1151,2823,0.19,2025-05-28 10:39:08
4,1197,2930,0.29,2025-05-28 10:39:08
5,868,3074,0.18,2025-05-28 10:39:08
6,831,2970,0.23,2025-05-28 10:39:08
7,1008,2976,0.22,2025-05-28 10:39:08
8,1101,2818,0.24,2025-05-28 10:39:08
9,840,2850,0.14,2025-05-28 10:39:08
10,857,3114,0.12,2025-05-28 10:39:08
11,825,3153,0.17,2025-05-28 10:39:08
12,998,3056,0.12,2025-05-28 10:39:08
13,904,2946,0.17,2025-05-28 10:39:08
14,1001,2982,0.2,2025-05-28 10:39:08
15,1088,3021,0.15,2025-05-28 10:39:08
16,888,3083,0.1,2025-05-28 10:39:08
17,1178,2873,0.18,2025-05-28 10:39:08
18,804,2895,0.24,2025-05-28 10:39:08
19,1007,3178,0.26,2025-05-28 10:39:08
20,1096,3103,0.25,2025-05-28 10:39:08
21,889,2850,0.27,2025-05-28 10:39:08
22,954,2969,0.23,2025-05-28 10:39:08
23,1029,2881,0.17,2025-05-28 10:39:08
24,947,2875,0.14,2025-05-28 10:39:08
25,1033,3163,0.19,2025-05-28 10:39:08
26,856,3107,0.11,2025-05-28 10:39:08
27,858,3170,0.22,2025-05-28 10:39:08
28,1103,3075,0.29,2025-05-28 10:39:08
29,831,3123,0.11,2025-05-28 10:39:08
30,1117,3158,0.25,2025-05-28 10:39:08
