TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,805,3112,0.19,2025-05-28 10:39:08
2,1170,2803,0.15,2025-05-28 10:39:08
3,1131,3105,0.21,2025-05-28 10:39:08
4,1016,2916,0.25,2025-05-28 10:39:08
5,1010,2895,0.24,2025-05-28 10:39:08
6,935,2871,0.29,2025-05-28 10:39:08
7,1200,3011,0.25,2025-05-28 10:39:08
8,1139,3151,0.17,2025-05-28 10:39:08
9,1167,2985,0.12,2025-05-28 10:39:08
10,927,2949,0.27,2025-05-28 10:39:08
11,904,3017,0.18,2025-05-28 10:39:08
12,1177,2953,0.1,2025-05-28 10:39:08
13,1038,3048,0.14,2025-05-28 10:39:08
14,1071,3107,0.24,2025-05-28 10:39:08
15,1052,2873,0.17,2025-05-28 10:39:08
16,1061,3192,0.2,2025-05-28 10:39:08
17,1047,3164,0.2,2025-05-28 10:39:08
18,1099,2977,0.29,2025-05-28 10:39:08
19,820,2827,0.19,2025-05-28 10:39:08
20,1108,2812,0.29,2025-05-28 10:39:08
21,1084,3130,0.28,2025-05-28 10:39:08
22,982,2989,0.15,2025-05-28 10:39:08
23,1016,3059,0.13,2025-05-28 10:39:08
24,1197,2827,0.11,2025-05-28 10:39:08
25,930,3112,0.14,2025-05-28 10:39:08
26,893,3168,0.29,2025-05-28 10:39:08
27,864,2892,0.13,2025-05-28 10:39:08
28,1098,3127,0.26,2025-05-28 10:39:08
29,890,3032,0.29,2025-05-28 10:39:08
30,899,3049,0.27,2025-05-28 10:39:08
