TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,816,2896,0.2,2025-05-28 10:39:09
2,1149,3067,0.1,2025-05-28 10:39:09
3,902,2832,0.14,2025-05-28 10:39:09
4,878,2832,0.29,2025-05-28 10:39:09
5,888,3012,0.23,2025-05-28 10:39:09
6,930,3017,0.29,2025-05-28 10:39:09
7,879,2894,0.2,2025-05-28 10:39:09
8,1164,3054,0.24,2025-05-28 10:39:09
9,1135,2898,0.11,2025-05-28 10:39:09
10,1066,2974,0.11,2025-05-28 10:39:09
11,1030,3181,0.27,2025-05-28 10:39:09
12,1005,3140,0.12,2025-05-28 10:39:09
13,1001,3109,0.16,2025-05-28 10:39:09
14,1085,2854,0.19,2025-05-28 10:39:09
15,835,2832,0.16,2025-05-28 10:39:09
16,1089,2868,0.3,2025-05-28 10:39:09
17,982,2831,0.15,2025-05-28 10:39:09
18,1102,2849,0.12,2025-05-28 10:39:09
19,1051,3166,0.13,2025-05-28 10:39:09
20,1038,2918,0.27,2025-05-28 10:39:09
21,906,3065,0.21,2025-05-28 10:39:09
22,1182,2990,0.24,2025-05-28 10:39:09
23,1184,2866,0.2,2025-05-28 10:39:09
24,841,2876,0.3,2025-05-28 10:39:09
25,1111,2816,0.17,2025-05-28 10:39:09
26,955,2868,0.19,2025-05-28 10:39:09
27,1183,2951,0.13,2025-05-28 10:39:09
28,896,2825,0.14,2025-05-28 10:39:09
29,941,2806,0.16,2025-05-28 10:39:09
30,1170,2837,0.24,2025-05-28 10:39:09
