TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,958,2935,0.27,2025-05-28 10:39:09
2,1188,3125,0.11,2025-05-28 10:39:09
3,942,3165,0.15,2025-05-28 10:39:09
4,868,3079,0.27,2025-05-28 10:39:09
5,905,3039,0.14,2025-05-28 10:39:09
6,955,3184,0.29,2025-05-28 10:39:09
7,1065,3105,0.23,2025-05-28 10:39:09
8,1022,2904,0.11,2025-05-28 10:39:09
9,893,2895,0.21,2025-05-28 10:39:09
10,873,2885,0.12,2025-05-28 10:39:09
11,949,3143,0.16,2025-05-28 10:39:09
12,942,2894,0.11,2025-05-28 10:39:09
13,1152,3060,0.22,2025-05-28 10:39:09
14,1079,3086,0.29,2025-05-28 10:39:09
15,914,3001,0.11,2025-05-28 10:39:09
16,846,3019,0.17,2025-05-28 10:39:09
17,974,2898,0.12,2025-05-28 10:39:09
18,814,2842,0.22,2025-05-28 10:39:09
19,1037,3022,0.25,2025-05-28 10:39:09
20,812,3081,0.17,2025-05-28 10:39:09
21,1075,2905,0.25,2025-05-28 10:39:09
22,989,3135,0.21,2025-05-28 10:39:09
23,1088,2972,0.28,2025-05-28 10:39:09
24,943,2808,0.22,2025-05-28 10:39:09
25,1185,2902,0.19,2025-05-28 10:39:09
26,917,3156,0.13,2025-05-28 10:39:09
27,1175,2999,0.13,2025-05-28 10:39:09
28,992,2873,0.2,2025-05-28 10:39:09
29,941,2956,0.21,2025-05-28 10:39:09
30,1177,3157,0.25,2025-05-28 10:39:09
