TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1125,3007,0.26,2025-05-28 10:39:09
2,1028,2966,0.17,2025-05-28 10:39:09
3,815,3039,0.17,2025-05-28 10:39:09
4,812,3019,0.14,2025-05-28 10:39:09
5,1114,3184,0.28,2025-05-28 10:39:09
6,976,2901,0.22,2025-05-28 10:39:09
7,1115,2994,0.17,2025-05-28 10:39:09
8,1120,3017,0.26,2025-05-28 10:39:09
9,903,2830,0.23,2025-05-28 10:39:09
10,954,2912,0.22,2025-05-28 10:39:09
11,1089,2997,0.22,2025-05-28 10:39:09
12,895,3038,0.26,2025-05-28 10:39:09
13,804,2943,0.28,2025-05-28 10:39:09
14,1066,3177,0.28,2025-05-28 10:39:09
15,1157,2928,0.24,2025-05-28 10:39:09
16,945,3172,0.14,2025-05-28 10:39:09
17,1091,3085,0.24,2025-05-28 10:39:09
18,1080,3137,0.17,2025-05-28 10:39:09
19,989,3163,0.28,2025-05-28 10:39:09
20,1022,3031,0.2,2025-05-28 10:39:09
21,915,2860,0.19,2025-05-28 10:39:09
22,950,2885,0.23,2025-05-28 10:39:09
23,954,3082,0.11,2025-05-28 10:39:09
24,1193,2829,0.14,2025-05-28 10:39:09
25,858,3171,0.27,2025-05-28 10:39:09
26,919,3008,0.18,2025-05-28 10:39:09
27,1066,2958,0.26,2025-05-28 10:39:09
28,1062,3174,0.18,2025-05-28 10:39:09
29,1053,3175,0.13,2025-05-28 10:39:09
30,869,3147,0.2,2025-05-28 10:39:09
