TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,993,2837,0.25,2025-05-28 10:39:09
2,844,3169,0.29,2025-05-28 10:39:09
3,836,3167,0.22,2025-05-28 10:39:09
4,1044,3172,0.12,2025-05-28 10:39:09
5,1018,3033,0.22,2025-05-28 10:39:09
6,1031,3085,0.21,2025-05-28 10:39:09
7,1003,2931,0.26,2025-05-28 10:39:09
8,1033,2859,0.27,2025-05-28 10:39:09
9,1008,3030,0.14,2025-05-28 10:39:09
10,995,3050,0.24,2025-05-28 10:39:09
11,1036,2890,0.15,2025-05-28 10:39:09
12,818,2841,0.13,2025-05-28 10:39:09
13,1017,3159,0.24,2025-05-28 10:39:09
14,932,2813,0.18,2025-05-28 10:39:09
15,818,2886,0.18,2025-05-28 10:39:09
16,1084,3001,0.18,2025-05-28 10:39:09
17,1168,2975,0.16,2025-05-28 10:39:09
18,833,2936,0.13,2025-05-28 10:39:09
19,843,2838,0.17,2025-05-28 10:39:09
20,980,2882,0.18,2025-05-28 10:39:09
21,1190,3195,0.16,2025-05-28 10:39:09
22,1181,3028,0.2,2025-05-28 10:39:09
23,1088,3023,0.22,2025-05-28 10:39:09
24,993,3178,0.22,2025-05-28 10:39:09
25,1116,2814,0.16,2025-05-28 10:39:09
26,833,3126,0.23,2025-05-28 10:39:09
27,941,3039,0.11,2025-05-28 10:39:09
28,1165,3001,0.21,2025-05-28 10:39:09
29,1181,2844,0.26,2025-05-28 10:39:09
30,872,3137,0.26,2025-05-28 10:39:09
