TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1176,2980,0.19,2025-05-28 10:39:09
2,840,3085,0.12,2025-05-28 10:39:09
3,1193,3024,0.18,2025-05-28 10:39:09
4,931,3122,0.26,2025-05-28 10:39:09
5,917,2912,0.21,2025-05-28 10:39:09
6,1108,2955,0.19,2025-05-28 10:39:09
7,1011,2836,0.16,2025-05-28 10:39:09
8,1001,3061,0.13,2025-05-28 10:39:09
9,951,3085,0.26,2025-05-28 10:39:09
10,905,3058,0.13,2025-05-28 10:39:09
11,834,3103,0.24,2025-05-28 10:39:09
12,873,2852,0.28,2025-05-28 10:39:09
13,998,2933,0.27,2025-05-28 10:39:09
14,865,3009,0.13,2025-05-28 10:39:09
15,934,2953,0.2,2025-05-28 10:39:09
16,1095,2892,0.26,2025-05-28 10:39:09
17,1064,3199,0.13,2025-05-28 10:39:09
18,808,2844,0.19,2025-05-28 10:39:09
19,1117,3165,0.22,2025-05-28 10:39:09
20,833,3062,0.2,2025-05-28 10:39:09
21,1008,3165,0.23,2025-05-28 10:39:09
22,1125,3053,0.14,2025-05-28 10:39:09
23,967,3014,0.1,2025-05-28 10:39:09
24,812,2800,0.16,2025-05-28 10:39:09
25,880,2860,0.26,2025-05-28 10:39:09
26,1156,2874,0.25,2025-05-28 10:39:09
27,1140,2944,0.18,2025-05-28 10:39:09
28,850,2948,0.25,2025-05-28 10:39:09
29,936,2811,0.18,2025-05-28 10:39:09
30,1132,2917,0.27,2025-05-28 10:39:09
