TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1129,3047,0.13,2025-05-28 10:39:08
2,927,3196,0.15,2025-05-28 10:39:08
3,887,2882,0.14,2025-05-28 10:39:08
4,1179,2938,0.26,2025-05-28 10:39:08
5,915,3148,0.28,2025-05-28 10:39:08
6,976,2820,0.27,2025-05-28 10:39:08
7,1177,3109,0.18,2025-05-28 10:39:08
8,873,3106,0.25,2025-05-28 10:39:08
9,1037,3172,0.18,2025-05-28 10:39:08
10,1171,2900,0.11,2025-05-28 10:39:08
11,1123,3018,0.26,2025-05-28 10:39:08
12,869,3159,0.12,2025-05-28 10:39:08
13,954,2963,0.23,2025-05-28 10:39:08
14,896,3009,0.21,2025-05-28 10:39:08
15,919,3153,0.18,2025-05-28 10:39:08
16,1024,3004,0.26,2025-05-28 10:39:08
17,983,2815,0.23,2025-05-28 10:39:08
18,1136,3197,0.25,2025-05-28 10:39:08
19,1042,3153,0.2,2025-05-28 10:39:08
20,881,2813,0.24,2025-05-28 10:39:08
21,872,2919,0.18,2025-05-28 10:39:08
22,934,3074,0.15,2025-05-28 10:39:08
23,1099,2956,0.15,2025-05-28 10:39:08
24,1044,3118,0.1,2025-05-28 10:39:08
25,943,3175,0.18,2025-05-28 10:39:08
26,860,2895,0.25,2025-05-28 10:39:08
27,1154,3045,0.26,2025-05-28 10:39:08
28,929,3162,0.14,2025-05-28 10:39:08
29,852,2877,0.19,2025-05-28 10:39:08
30,930,2822,0.13,2025-05-28 10:39:08
