TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,966,2902,0.12,2025-05-28 10:39:08
2,1185,3124,0.19,2025-05-28 10:39:08
3,858,2893,0.22,2025-05-28 10:39:08
4,891,2925,0.26,2025-05-28 10:39:08
5,1119,3075,0.11,2025-05-28 10:39:08
6,1149,2991,0.29,2025-05-28 10:39:08
7,894,2880,0.23,2025-05-28 10:39:08
8,1106,3009,0.24,2025-05-28 10:39:08
9,968,3172,0.29,2025-05-28 10:39:08
10,999,3026,0.25,2025-05-28 10:39:08
11,1017,3162,0.18,2025-05-28 10:39:08
12,1053,3186,0.29,2025-05-28 10:39:08
13,980,2842,0.21,2025-05-28 10:39:08
14,1160,3090,0.12,2025-05-28 10:39:08
15,968,2802,0.24,2025-05-28 10:39:08
16,1104,3105,0.25,2025-05-28 10:39:08
17,818,3011,0.1,2025-05-28 10:39:08
18,1152,2855,0.18,2025-05-28 10:39:08
19,1000,3001,0.14,2025-05-28 10:39:08
20,1187,3021,0.29,2025-05-28 10:39:08
21,917,2869,0.22,2025-05-28 10:39:08
22,1099,2994,0.29,2025-05-28 10:39:08
23,1156,3139,0.27,2025-05-28 10:39:08
24,885,3101,0.24,2025-05-28 10:39:08
25,960,3119,0.13,2025-05-28 10:39:08
26,854,3009,0.11,2025-05-28 10:39:08
27,840,3025,0.22,2025-05-28 10:39:08
28,820,3123,0.16,2025-05-28 10:39:08
29,954,2969,0.16,2025-05-28 10:39:08
30,907,3167,0.22,2025-05-28 10:39:08
