TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,825,3159,0.11,2025-05-28 10:39:08
2,884,3134,0.28,2025-05-28 10:39:08
3,860,2939,0.1,2025-05-28 10:39:08
4,1128,2954,0.23,2025-05-28 10:39:08
5,1046,3109,0.26,2025-05-28 10:39:08
6,1133,2854,0.13,2025-05-28 10:39:08
7,1165,2934,0.18,2025-05-28 10:39:08
8,825,2864,0.17,2025-05-28 10:39:08
9,1102,3156,0.16,2025-05-28 10:39:08
10,1170,2822,0.12,2025-05-28 10:39:08
11,1003,3124,0.26,2025-05-28 10:39:08
12,1050,2985,0.27,2025-05-28 10:39:08
13,817,2858,0.2,2025-05-28 10:39:08
14,939,3124,0.14,2025-05-28 10:39:08
15,1107,3029,0.18,2025-05-28 10:39:08
16,1097,2875,0.22,2025-05-28 10:39:08
17,912,2985,0.11,2025-05-28 10:39:08
18,975,3061,0.14,2025-05-28 10:39:08
19,1007,2975,0.13,2025-05-28 10:39:08
20,1187,3068,0.14,2025-05-28 10:39:08
21,1057,3001,0.29,2025-05-28 10:39:08
22,1045,3195,0.19,2025-05-28 10:39:08
23,1150,3007,0.22,2025-05-28 10:39:08
24,1199,2976,0.2,2025-05-28 10:39:08
25,930,2849,0.11,2025-05-28 10:39:08
26,814,2891,0.27,2025-05-28 10:39:08
27,1002,2939,0.22,2025-05-28 10:39:08
28,1173,3132,0.18,2025-05-28 10:39:08
29,1005,2954,0.14,2025-05-28 10:39:08
30,868,3024,0.12,2025-05-28 10:39:08
