TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1117,3105,0.21,2025-05-28 10:39:08
2,855,2916,0.1,2025-05-28 10:39:08
3,930,3147,0.25,2025-05-28 10:39:08
4,1198,3171,0.23,2025-05-28 10:39:08
5,946,2989,0.23,2025-05-28 10:39:08
6,943,2990,0.19,2025-05-28 10:39:08
7,841,3107,0.16,2025-05-28 10:39:08
8,946,2900,0.16,2025-05-28 10:39:08
9,1195,2924,0.23,2025-05-28 10:39:08
10,855,3106,0.26,2025-05-28 10:39:08
11,1014,2844,0.29,2025-05-28 10:39:08
12,1070,2950,0.28,2025-05-28 10:39:08
13,1067,2887,0.16,2025-05-28 10:39:08
14,994,2984,0.28,2025-05-28 10:39:08
15,981,2872,0.26,2025-05-28 10:39:08
16,1055,2986,0.18,2025-05-28 10:39:08
17,1090,3068,0.18,2025-05-28 10:39:08
18,876,3153,0.25,2025-05-28 10:39:08
19,1037,3139,0.12,2025-05-28 10:39:08
20,1169,2804,0.25,2025-05-28 10:39:08
21,1072,2864,0.26,2025-05-28 10:39:08
22,964,3110,0.18,2025-05-28 10:39:08
23,1043,2811,0.27,2025-05-28 10:39:08
24,1171,3054,0.18,2025-05-28 10:39:08
25,1148,3170,0.14,2025-05-28 10:39:08
26,1057,2985,0.18,2025-05-28 10:39:08
27,1067,3064,0.18,2025-05-28 10:39:08
28,881,2846,0.16,2025-05-28 10:39:08
29,1062,3019,0.15,2025-05-28 10:39:08
30,937,3053,0.22,2025-05-28 10:39:08
