TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1047,3136,0.13,2025-05-28 10:39:08
2,1077,3078,0.2,2025-05-28 10:39:08
3,858,2848,0.28,2025-05-28 10:39:08
4,1038,2802,0.15,2025-05-28 10:39:08
5,1161,2884,0.14,2025-05-28 10:39:08
6,1144,3021,0.17,2025-05-28 10:39:08
7,864,2971,0.27,2025-05-28 10:39:08
8,898,3054,0.12,2025-05-28 10:39:08
9,822,2987,0.18,2025-05-28 10:39:08
10,1113,2880,0.3,2025-05-28 10:39:08
11,883,3163,0.18,2025-05-28 10:39:08
12,842,3145,0.24,2025-05-28 10:39:08
13,922,2887,0.25,2025-05-28 10:39:08
14,1168,2888,0.19,2025-05-28 10:39:08
15,1094,3024,0.2,2025-05-28 10:39:08
16,822,2887,0.2,2025-05-28 10:39:08
17,1119,3153,0.3,2025-05-28 10:39:08
18,894,2957,0.13,2025-05-28 10:39:08
19,1142,2931,0.2,2025-05-28 10:39:08
20,1021,3121,0.22,2025-05-28 10:39:08
21,855,3062,0.22,2025-05-28 10:39:08
22,864,3039,0.26,2025-05-28 10:39:08
23,1098,2928,0.17,2025-05-28 10:39:08
24,1123,3181,0.27,2025-05-28 10:39:08
25,1190,3071,0.21,2025-05-28 10:39:08
26,960,2937,0.16,2025-05-28 10:39:08
27,823,3073,0.25,2025-05-28 10:39:08
28,998,2903,0.19,2025-05-28 10:39:08
29,1064,3166,0.27,2025-05-28 10:39:08
30,1036,2916,0.23,2025-05-28 10:39:08
