TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1033,2985,0.26,2025-05-28 10:39:08
2,1198,2878,0.16,2025-05-28 10:39:08
3,872,2859,0.19,2025-05-28 10:39:08
4,924,3096,0.17,2025-05-28 10:39:08
5,1004,3042,0.1,2025-05-28 10:39:08
6,990,2954,0.24,2025-05-28 10:39:08
7,1171,3081,0.17,2025-05-28 10:39:08
8,935,3045,0.13,2025-05-28 10:39:08
9,1115,3034,0.1,2025-05-28 10:39:08
10,1183,3001,0.11,2025-05-28 10:39:08
11,967,3053,0.24,2025-05-28 10:39:08
12,1169,2837,0.25,2025-05-28 10:39:08
13,1120,3106,0.17,2025-05-28 10:39:08
14,923,3048,0.14,2025-05-28 10:39:08
15,1111,2887,0.17,2025-05-28 10:39:08
16,888,2812,0.28,2025-05-28 10:39:08
17,1014,3064,0.26,2025-05-28 10:39:08
18,820,3078,0.25,2025-05-28 10:39:08
19,879,3041,0.15,2025-05-28 10:39:08
20,1152,2905,0.25,2025-05-28 10:39:08
21,1018,3063,0.11,2025-05-28 10:39:08
22,824,3060,0.28,2025-05-28 10:39:08
23,1173,3157,0.27,2025-05-28 10:39:08
24,1135,3118,0.14,2025-05-28 10:39:08
25,1152,3027,0.23,2025-05-28 10:39:08
26,1182,3054,0.17,2025-05-28 10:39:08
27,1047,3040,0.17,2025-05-28 10:39:08
28,1097,2839,0.22,2025-05-28 10:39:08
29,1042,2916,0.16,2025-05-28 10:39:08
30,940,3020,0.18,2025-05-28 10:39:08
