TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,933,3105,0.28,2025-05-28 10:39:08
2,920,3150,0.25,2025-05-28 10:39:08
3,913,3193,0.26,2025-05-28 10:39:08
4,1171,2966,0.22,2025-05-28 10:39:08
5,1189,3046,0.13,2025-05-28 10:39:08
6,1016,2869,0.25,2025-05-28 10:39:08
7,947,2865,0.17,2025-05-28 10:39:08
8,914,2849,0.22,2025-05-28 10:39:08
9,988,3161,0.29,2025-05-28 10:39:08
10,808,2892,0.16,2025-05-28 10:39:08
11,1147,2944,0.22,2025-05-28 10:39:08
12,1167,3048,0.18,2025-05-28 10:39:08
13,802,3056,0.13,2025-05-28 10:39:08
14,1125,2997,0.18,2025-05-28 10:39:08
15,1091,2839,0.25,2025-05-28 10:39:08
16,839,3084,0.28,2025-05-28 10:39:08
17,835,3161,0.27,2025-05-28 10:39:08
18,933,3039,0.17,2025-05-28 10:39:08
19,1100,2888,0.15,2025-05-28 10:39:08
20,1032,2946,0.24,2025-05-28 10:39:08
21,872,3133,0.19,2025-05-28 10:39:08
22,975,3046,0.28,2025-05-28 10:39:08
23,954,2814,0.12,2025-05-28 10:39:08
24,902,3189,0.17,2025-05-28 10:39:08
25,1170,3012,0.26,2025-05-28 10:39:08
26,922,2865,0.27,2025-05-28 10:39:08
27,1142,2851,0.16,2025-05-28 10:39:08
28,1161,3159,0.27,2025-05-28 10:39:08
29,971,2966,0.25,2025-05-28 10:39:08
30,954,3029,0.18,2025-05-28 10:39:08
