TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,861,3040,0.2,2025-05-28 10:39:08
2,1004,2976,0.29,2025-05-28 10:39:08
3,946,3134,0.13,2025-05-28 10:39:08
4,873,2959,0.27,2025-05-28 10:39:08
5,1099,3088,0.22,2025-05-28 10:39:08
6,981,2942,0.11,2025-05-28 10:39:08
7,1151,3195,0.23,2025-05-28 10:39:08
8,827,3096,0.1,2025-05-28 10:39:08
9,802,2957,0.23,2025-05-28 10:39:08
10,946,3167,0.16,2025-05-28 10:39:08
11,1008,2964,0.23,2025-05-28 10:39:08
12,953,3120,0.1,2025-05-28 10:39:08
13,1099,3010,0.14,2025-05-28 10:39:08
14,1196,2868,0.23,2025-05-28 10:39:08
15,939,3155,0.11,2025-05-28 10:39:08
16,1006,3095,0.24,2025-05-28 10:39:08
17,973,2934,0.2,2025-05-28 10:39:08
18,1194,3072,0.27,2025-05-28 10:39:08
19,1184,2877,0.12,2025-05-28 10:39:08
20,952,2904,0.29,2025-05-28 10:39:08
21,1004,3012,0.12,2025-05-28 10:39:08
22,1141,3046,0.22,2025-05-28 10:39:08
23,1060,3083,0.22,2025-05-28 10:39:08
24,983,2968,0.11,2025-05-28 10:39:08
25,1189,2814,0.24,2025-05-28 10:39:08
26,862,2867,0.21,2025-05-28 10:39:08
27,1006,2963,0.29,2025-05-28 10:39:08
28,901,3188,0.16,2025-05-28 10:39:08
29,848,2990,0.19,2025-05-28 10:39:08
30,832,3146,0.3,2025-05-28 10:39:08
