TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,933,3157,0.21,2025-05-28 10:39:08
2,858,3026,0.28,2025-05-28 10:39:08
3,909,3163,0.12,2025-05-28 10:39:08
4,807,2878,0.24,2025-05-28 10:39:08
5,896,3063,0.2,2025-05-28 10:39:08
6,856,2914,0.15,2025-05-28 10:39:08
7,1123,2922,0.15,2025-05-28 10:39:08
8,903,2924,0.18,2025-05-28 10:39:08
9,1136,3061,0.15,2025-05-28 10:39:08
10,804,3103,0.2,2025-05-28 10:39:08
11,946,2932,0.28,2025-05-28 10:39:08
12,940,3183,0.1,2025-05-28 10:39:08
13,1002,3156,0.22,2025-05-28 10:39:08
14,837,3083,0.12,2025-05-28 10:39:08
15,968,3006,0.1,2025-05-28 10:39:08
16,815,2802,0.27,2025-05-28 10:39:08
17,811,3064,0.26,2025-05-28 10:39:08
18,1018,3081,0.28,2025-05-28 10:39:08
19,899,3051,0.21,2025-05-28 10:39:08
20,1005,3002,0.26,2025-05-28 10:39:08
21,851,2830,0.16,2025-05-28 10:39:08
22,814,3011,0.27,2025-05-28 10:39:08
23,857,3182,0.18,2025-05-28 10:39:08
24,821,3088,0.24,2025-05-28 10:39:08
25,802,3106,0.21,2025-05-28 10:39:08
26,1133,3167,0.2,2025-05-28 10:39:08
27,971,2872,0.19,2025-05-28 10:39:08
28,809,2983,0.26,2025-05-28 10:39:08
29,1194,3014,0.17,2025-05-28 10:39:08
30,846,2985,0.28,2025-05-28 10:39:08
