TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,942,2946,0.28,2025-05-28 10:39:08
2,1156,2879,0.17,2025-05-28 10:39:08
3,1009,3040,0.1,2025-05-28 10:39:08
4,1102,3160,0.2,2025-05-28 10:39:08
5,891,3065,0.13,2025-05-28 10:39:08
6,949,3170,0.11,2025-05-28 10:39:08
7,914,2895,0.19,2025-05-28 10:39:08
8,988,3016,0.13,2025-05-28 10:39:08
9,945,2937,0.21,2025-05-28 10:39:08
10,1121,3161,0.16,2025-05-28 10:39:08
11,1106,3124,0.22,2025-05-28 10:39:08
12,1070,2933,0.19,2025-05-28 10:39:08
13,1084,3184,0.26,2025-05-28 10:39:08
14,1040,3004,0.3,2025-05-28 10:39:08
15,867,3047,0.2,2025-05-28 10:39:08
16,841,2998,0.15,2025-05-28 10:39:08
17,1062,2824,0.26,2025-05-28 10:39:08
18,1017,2953,0.22,2025-05-28 10:39:08
19,896,3047,0.21,2025-05-28 10:39:08
20,1187,2898,0.13,2025-05-28 10:39:08
21,980,2835,0.17,2025-05-28 10:39:08
22,1032,2929,0.28,2025-05-28 10:39:08
23,1068,2922,0.16,2025-05-28 10:39:08
24,952,3076,0.12,2025-05-28 10:39:08
25,1146,2979,0.11,2025-05-28 10:39:08
26,854,2952,0.26,2025-05-28 10:39:08
27,864,3127,0.13,2025-05-28 10:39:08
28,926,2948,0.16,2025-05-28 10:39:08
29,1165,2906,0.26,2025-05-28 10:39:08
30,889,2970,0.25,2025-05-28 10:39:08
