TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,952,2900,0.14,2025-05-28 10:39:08
2,1045,2897,0.22,2025-05-28 10:39:08
3,958,3144,0.24,2025-05-28 10:39:08
4,1126,2970,0.16,2025-05-28 10:39:08
5,1196,3200,0.28,2025-05-28 10:39:08
6,1049,3074,0.19,2025-05-28 10:39:08
7,1093,3114,0.3,2025-05-28 10:39:08
8,911,2839,0.21,2025-05-28 10:39:08
9,1175,2877,0.29,2025-05-28 10:39:08
10,843,3070,0.17,2025-05-28 10:39:08
11,1068,3170,0.19,2025-05-28 10:39:08
12,1026,3047,0.18,2025-05-28 10:39:08
13,874,2837,0.12,2025-05-28 10:39:08
14,960,3153,0.19,2025-05-28 10:39:08
15,968,2888,0.29,2025-05-28 10:39:08
16,850,3059,0.13,2025-05-28 10:39:08
17,1049,3070,0.22,2025-05-28 10:39:08
18,1017,3012,0.18,2025-05-28 10:39:08
19,1051,2853,0.22,2025-05-28 10:39:08
20,1019,2930,0.23,2025-05-28 10:39:08
21,960,3184,0.25,2025-05-28 10:39:08
22,1117,3053,0.24,2025-05-28 10:39:08
23,805,2827,0.14,2025-05-28 10:39:08
24,1065,3014,0.21,2025-05-28 10:39:08
25,1117,3141,0.24,2025-05-28 10:39:08
26,1069,3179,0.17,2025-05-28 10:39:08
27,1197,2839,0.16,2025-05-28 10:39:08
28,1011,2896,0.19,2025-05-28 10:39:08
29,1067,3117,0.17,2025-05-28 10:39:08
30,1019,3007,0.24,2025-05-28 10:39:08
