TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,918,2855,0.16,2025-05-28 10:39:08
2,850,2912,0.11,2025-05-28 10:39:08
3,1144,3132,0.1,2025-05-28 10:39:08
4,1131,3089,0.18,2025-05-28 10:39:08
5,1043,3161,0.17,2025-05-28 10:39:08
6,967,2837,0.13,2025-05-28 10:39:08
7,929,2994,0.18,2025-05-28 10:39:08
8,919,2824,0.16,2025-05-28 10:39:08
9,1181,2911,0.2,2025-05-28 10:39:08
10,1075,2951,0.11,2025-05-28 10:39:08
11,931,3183,0.28,2025-05-28 10:39:08
12,891,3135,0.12,2025-05-28 10:39:08
13,1177,2820,0.16,2025-05-28 10:39:08
14,918,2818,0.28,2025-05-28 10:39:08
15,831,3010,0.25,2025-05-28 10:39:08
16,1112,2960,0.1,2025-05-28 10:39:08
17,1062,3147,0.19,2025-05-28 10:39:08
18,956,3186,0.11,2025-05-28 10:39:08
19,1155,3195,0.12,2025-05-28 10:39:08
20,1168,2961,0.25,2025-05-28 10:39:08
21,1134,2886,0.23,2025-05-28 10:39:08
22,1104,2852,0.26,2025-05-28 10:39:08
23,926,2888,0.11,2025-05-28 10:39:08
24,1097,3080,0.2,2025-05-28 10:39:08
25,1036,2812,0.26,2025-05-28 10:39:08
26,995,3005,0.29,2025-05-28 10:39:08
27,1076,3055,0.12,2025-05-28 10:39:08
28,1128,3074,0.15,2025-05-28 10:39:08
29,828,2931,0.13,2025-05-28 10:39:08
30,917,2835,0.25,2025-05-28 10:39:08
