TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,826,2819,0.21,2025-05-28 10:39:08
2,906,2839,0.19,2025-05-28 10:39:08
3,993,2915,0.19,2025-05-28 10:39:08
4,1134,2951,0.26,2025-05-28 10:39:08
5,1134,2946,0.27,2025-05-28 10:39:08
6,917,2873,0.17,2025-05-28 10:39:08
7,1167,3008,0.26,2025-05-28 10:39:08
8,903,3020,0.26,2025-05-28 10:39:08
9,1062,3146,0.27,2025-05-28 10:39:08
10,817,2919,0.26,2025-05-28 10:39:08
11,914,3101,0.28,2025-05-28 10:39:08
12,848,2931,0.21,2025-05-28 10:39:08
13,1159,3122,0.11,2025-05-28 10:39:08
14,1061,2945,0.19,2025-05-28 10:39:08
15,931,2879,0.19,2025-05-28 10:39:08
16,867,2995,0.3,2025-05-28 10:39:08
17,1176,3046,0.18,2025-05-28 10:39:08
18,1116,2890,0.28,2025-05-28 10:39:08
19,1187,2936,0.3,2025-05-28 10:39:08
20,890,2953,0.28,2025-05-28 10:39:08
21,896,2970,0.11,2025-05-28 10:39:08
22,1173,3090,0.15,2025-05-28 10:39:08
23,978,3140,0.26,2025-05-28 10:39:08
24,1149,3100,0.19,2025-05-28 10:39:08
25,908,2872,0.18,2025-05-28 10:39:08
26,1014,3116,0.29,2025-05-28 10:39:08
27,959,3060,0.21,2025-05-28 10:39:08
28,938,3154,0.11,2025-05-28 10:39:08
29,876,3171,0.17,2025-05-28 10:39:08
30,851,3031,0.24,2025-05-28 10:39:08
