TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,872,2843,0.16,2025-05-28 10:39:08
2,1054,3139,0.17,2025-05-28 10:39:08
3,935,3129,0.19,2025-05-28 10:39:08
4,877,3163,0.26,2025-05-28 10:39:08
5,901,3030,0.19,2025-05-28 10:39:08
6,810,2920,0.1,2025-05-28 10:39:08
7,1102,3063,0.23,2025-05-28 10:39:08
8,873,3025,0.27,2025-05-28 10:39:08
9,1078,2924,0.15,2025-05-28 10:39:08
10,960,2915,0.1,2025-05-28 10:39:08
11,886,2839,0.27,2025-05-28 10:39:08
12,953,3106,0.18,2025-05-28 10:39:08
13,1160,3094,0.24,2025-05-28 10:39:08
14,1178,2807,0.22,2025-05-28 10:39:08
15,1118,2983,0.29,2025-05-28 10:39:08
16,860,2859,0.13,2025-05-28 10:39:08
17,817,3040,0.24,2025-05-28 10:39:08
18,1181,3009,0.14,2025-05-28 10:39:08
19,972,3046,0.22,2025-05-28 10:39:08
20,820,3170,0.14,2025-05-28 10:39:08
21,872,2891,0.27,2025-05-28 10:39:08
22,1162,2858,0.19,2025-05-28 10:39:08
23,830,3196,0.21,2025-05-28 10:39:08
24,1154,3122,0.2,2025-05-28 10:39:08
25,1183,3193,0.24,2025-05-28 10:39:08
26,1091,3044,0.22,2025-05-28 10:39:08
27,1049,3172,0.12,2025-05-28 10:39:08
28,1162,3043,0.18,2025-05-28 10:39:08
29,1090,2998,0.21,2025-05-28 10:39:08
30,1194,3122,0.13,2025-05-28 10:39:08
