TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,894,2950,0.18,2025-05-28 10:39:08
2,1012,3036,0.2,2025-05-28 10:39:08
3,856,3095,0.1,2025-05-28 10:39:08
4,1183,2978,0.12,2025-05-28 10:39:08
5,874,3101,0.17,2025-05-28 10:39:08
6,1117,2871,0.23,2025-05-28 10:39:08
7,1058,3047,0.13,2025-05-28 10:39:08
8,1159,2915,0.15,2025-05-28 10:39:08
9,898,2805,0.17,2025-05-28 10:39:08
10,1151,3181,0.29,2025-05-28 10:39:08
11,1091,3065,0.26,2025-05-28 10:39:08
12,1176,2835,0.11,2025-05-28 10:39:08
13,1101,3124,0.3,2025-05-28 10:39:08
14,846,2844,0.2,2025-05-28 10:39:08
15,811,3183,0.2,2025-05-28 10:39:08
16,847,2941,0.11,2025-05-28 10:39:08
17,1038,2825,0.27,2025-05-28 10:39:08
18,1018,2827,0.15,2025-05-28 10:39:08
19,1080,2805,0.13,2025-05-28 10:39:08
20,836,2904,0.26,2025-05-28 10:39:08
21,854,3176,0.21,2025-05-28 10:39:08
22,807,3059,0.19,2025-05-28 10:39:08
23,839,3032,0.22,2025-05-28 10:39:08
24,825,2824,0.25,2025-05-28 10:39:08
25,1138,3012,0.21,2025-05-28 10:39:08
26,917,2876,0.21,2025-05-28 10:39:08
27,1101,3119,0.24,2025-05-28 10:39:08
28,999,2914,0.16,2025-05-28 10:39:08
29,950,3042,0.27,2025-05-28 10:39:08
30,806,2906,0.14,2025-05-28 10:39:08
