TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1167,2814,0.23,2025-05-28 10:39:09
2,1074,2982,0.11,2025-05-28 10:39:09
3,880,2848,0.25,2025-05-28 10:39:09
4,870,2812,0.24,2025-05-28 10:39:09
5,951,3087,0.29,2025-05-28 10:39:09
6,934,2954,0.24,2025-05-28 10:39:09
7,856,2945,0.22,2025-05-28 10:39:09
8,846,2969,0.19,2025-05-28 10:39:09
9,960,3148,0.14,2025-05-28 10:39:09
10,967,2888,0.29,2025-05-28 10:39:09
11,837,2902,0.26,2025-05-28 10:39:09
12,1015,2850,0.18,2025-05-28 10:39:09
13,866,3169,0.13,2025-05-28 10:39:09
14,1167,3035,0.18,2025-05-28 10:39:09
15,1127,2822,0.2,2025-05-28 10:39:09
16,1093,2821,0.26,2025-05-28 10:39:09
17,929,2846,0.23,2025-05-28 10:39:09
18,985,2910,0.12,2025-05-28 10:39:09
19,966,2957,0.21,2025-05-28 10:39:09
20,981,3139,0.3,2025-05-28 10:39:09
21,1150,3098,0.26,2025-05-28 10:39:09
22,1084,3005,0.3,2025-05-28 10:39:09
23,1093,2992,0.21,2025-05-28 10:39:09
24,1036,2879,0.2,2025-05-28 10:39:09
25,913,3021,0.29,2025-05-28 10:39:09
26,877,2986,0.12,2025-05-28 10:39:09
27,1098,3153,0.21,2025-05-28 10:39:09
28,1116,2926,0.21,2025-05-28 10:39:09
29,1174,2860,0.14,2025-05-28 10:39:09
30,832,2861,0.18,2025-05-28 10:39:09
