TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,815,3015,0.29,2025-05-28 10:39:09
2,827,2933,0.28,2025-05-28 10:39:09
3,965,2829,0.18,2025-05-28 10:39:09
4,904,2903,0.19,2025-05-28 10:39:09
5,847,2847,0.24,2025-05-28 10:39:09
6,949,3111,0.23,2025-05-28 10:39:09
7,1036,2911,0.23,2025-05-28 10:39:09
8,834,3123,0.11,2025-05-28 10:39:09
9,1021,3117,0.27,2025-05-28 10:39:09
10,861,2835,0.18,2025-05-28 10:39:09
11,855,3178,0.18,2025-05-28 10:39:09
12,979,2863,0.27,2025-05-28 10:39:09
13,1153,2840,0.17,2025-05-28 10:39:09
14,963,2899,0.27,2025-05-28 10:39:09
15,1009,2971,0.21,2025-05-28 10:39:09
16,1085,2908,0.22,2025-05-28 10:39:09
17,813,3142,0.16,2025-05-28 10:39:09
18,991,2945,0.26,2025-05-28 10:39:09
19,1184,2975,0.22,2025-05-28 10:39:09
20,1069,2969,0.26,2025-05-28 10:39:09
21,1200,2999,0.16,2025-05-28 10:39:09
22,917,3105,0.11,2025-05-28 10:39:09
23,1037,3178,0.21,2025-05-28 10:39:09
24,1068,2822,0.22,2025-05-28 10:39:09
25,1188,2812,0.29,2025-05-28 10:39:09
26,828,3117,0.17,2025-05-28 10:39:09
27,1016,2876,0.18,2025-05-28 10:39:09
28,972,3186,0.26,2025-05-28 10:39:09
29,1141,3162,0.11,2025-05-28 10:39:09
30,1030,3062,0.3,2025-05-28 10:39:09
