TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,803,3064,0.11,2025-05-28 10:39:09
2,850,3144,0.26,2025-05-28 10:39:09
3,1191,3062,0.19,2025-05-28 10:39:09
4,1111,2838,0.12,2025-05-28 10:39:09
5,811,3086,0.25,2025-05-28 10:39:09
6,869,2895,0.24,2025-05-28 10:39:09
7,929,3145,0.26,2025-05-28 10:39:09
8,806,2898,0.25,2025-05-28 10:39:09
9,837,2871,0.1,2025-05-28 10:39:09
10,907,3166,0.26,2025-05-28 10:39:09
11,857,3069,0.14,2025-05-28 10:39:09
12,998,2973,0.17,2025-05-28 10:39:09
13,829,2858,0.19,2025-05-28 10:39:09
14,845,2818,0.16,2025-05-28 10:39:09
15,1113,2959,0.15,2025-05-28 10:39:09
16,838,2980,0.24,2025-05-28 10:39:09
17,1058,3013,0.27,2025-05-28 10:39:09
18,1183,3172,0.25,2025-05-28 10:39:09
19,825,3151,0.16,2025-05-28 10:39:09
20,957,3069,0.12,2025-05-28 10:39:09
21,1039,3090,0.15,2025-05-28 10:39:09
22,940,3106,0.25,2025-05-28 10:39:09
23,1102,2945,0.22,2025-05-28 10:39:09
24,1005,2869,0.1,2025-05-28 10:39:09
25,995,3067,0.25,2025-05-28 10:39:09
26,1149,2843,0.26,2025-05-28 10:39:09
27,842,3131,0.21,2025-05-28 10:39:09
28,1106,3156,0.11,2025-05-28 10:39:09
29,1113,3036,0.17,2025-05-28 10:39:09
30,1112,3117,0.24,2025-05-28 10:39:09
