TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1061,2861,0.14,2025-05-28 10:39:09
2,835,3109,0.25,2025-05-28 10:39:09
3,903,3110,0.15,2025-05-28 10:39:09
4,1170,2956,0.21,2025-05-28 10:39:09
5,1045,2928,0.3,2025-05-28 10:39:09
6,1172,2814,0.18,2025-05-28 10:39:09
7,947,3003,0.18,2025-05-28 10:39:09
8,939,3094,0.19,2025-05-28 10:39:09
9,1073,3184,0.29,2025-05-28 10:39:09
10,1121,3110,0.22,2025-05-28 10:39:09
11,834,2943,0.23,2025-05-28 10:39:09
12,805,3054,0.28,2025-05-28 10:39:09
13,1142,2945,0.12,2025-05-28 10:39:09
14,965,2810,0.18,2025-05-28 10:39:09
15,1033,2973,0.19,2025-05-28 10:39:09
16,913,3151,0.27,2025-05-28 10:39:09
17,923,3184,0.22,2025-05-28 10:39:09
18,852,3099,0.24,2025-05-28 10:39:09
19,1007,2854,0.16,2025-05-28 10:39:09
20,1166,2854,0.21,2025-05-28 10:39:09
21,1067,3001,0.1,2025-05-28 10:39:09
22,1163,3011,0.16,2025-05-28 10:39:09
23,1017,3120,0.24,2025-05-28 10:39:09
24,1151,2978,0.1,2025-05-28 10:39:09
25,1177,2978,0.28,2025-05-28 10:39:09
26,919,2949,0.27,2025-05-28 10:39:09
27,1043,2893,0.11,2025-05-28 10:39:09
28,1140,3066,0.13,2025-05-28 10:39:09
29,836,3056,0.28,2025-05-28 10:39:09
30,1041,3191,0.21,2025-05-28 10:39:09
