TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,886,2859,0.13,2025-05-28 10:39:09
2,1106,3065,0.28,2025-05-28 10:39:09
3,808,2972,0.23,2025-05-28 10:39:09
4,854,2906,0.22,2025-05-28 10:39:09
5,1162,2810,0.25,2025-05-28 10:39:09
6,1147,2885,0.12,2025-05-28 10:39:09
7,992,2950,0.14,2025-05-28 10:39:09
8,981,3065,0.21,2025-05-28 10:39:09
9,1069,3161,0.2,2025-05-28 10:39:09
10,801,2963,0.25,2025-05-28 10:39:09
11,830,3007,0.16,2025-05-28 10:39:09
12,1089,2897,0.17,2025-05-28 10:39:09
13,900,2823,0.28,2025-05-28 10:39:09
14,1158,3104,0.11,2025-05-28 10:39:09
15,1030,2883,0.19,2025-05-28 10:39:09
16,990,3072,0.29,2025-05-28 10:39:09
17,1106,3151,0.24,2025-05-28 10:39:09
18,1014,2867,0.22,2025-05-28 10:39:09
19,877,3138,0.23,2025-05-28 10:39:09
20,972,3182,0.2,2025-05-28 10:39:09
21,1052,2908,0.29,2025-05-28 10:39:09
22,1131,3046,0.23,2025-05-28 10:39:09
23,1151,3167,0.16,2025-05-28 10:39:09
24,868,3059,0.22,2025-05-28 10:39:09
25,942,2926,0.26,2025-05-28 10:39:09
26,875,2869,0.14,2025-05-28 10:39:09
27,984,2996,0.18,2025-05-28 10:39:09
28,811,3197,0.1,2025-05-28 10:39:09
29,1067,3059,0.14,2025-05-28 10:39:09
30,990,3111,0.24,2025-05-28 10:39:09
