TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1179,3034,0.27,2025-05-28 10:39:08
2,894,3073,0.28,2025-05-28 10:39:08
3,849,3057,0.24,2025-05-28 10:39:08
4,1146,3090,0.18,2025-05-28 10:39:08
5,916,3184,0.29,2025-05-28 10:39:08
6,1064,3128,0.17,2025-05-28 10:39:08
7,1021,2932,0.18,2025-05-28 10:39:08
8,879,3060,0.25,2025-05-28 10:39:08
9,883,3017,0.28,2025-05-28 10:39:08
10,1157,3034,0.16,2025-05-28 10:39:08
11,830,3176,0.1,2025-05-28 10:39:08
12,1130,3170,0.19,2025-05-28 10:39:08
13,1035,3089,0.27,2025-05-28 10:39:08
14,1017,3037,0.27,2025-05-28 10:39:08
15,1065,3055,0.22,2025-05-28 10:39:08
16,840,3116,0.2,2025-05-28 10:39:08
17,1020,2963,0.25,2025-05-28 10:39:08
18,866,2967,0.21,2025-05-28 10:39:08
19,1122,2899,0.1,2025-05-28 10:39:08
20,1000,2885,0.18,2025-05-28 10:39:08
21,887,3117,0.13,2025-05-28 10:39:08
22,1011,2847,0.16,2025-05-28 10:39:08
23,927,2937,0.3,2025-05-28 10:39:08
24,1197,2839,0.12,2025-05-28 10:39:08
25,885,2814,0.12,2025-05-28 10:39:08
26,840,2818,0.29,2025-05-28 10:39:08
27,883,3133,0.22,2025-05-28 10:39:08
28,968,3090,0.17,2025-05-28 10:39:08
29,1095,2872,0.28,2025-05-28 10:39:08
30,943,2924,0.26,2025-05-28 10:39:08
