TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,974,3143,0.12,2025-05-28 10:39:08
2,924,2987,0.26,2025-05-28 10:39:08
3,1065,3032,0.26,2025-05-28 10:39:08
4,980,2902,0.1,2025-05-28 10:39:08
5,1059,3119,0.19,2025-05-28 10:39:08
6,1043,2993,0.22,2025-05-28 10:39:08
7,1001,2991,0.12,2025-05-28 10:39:08
8,906,2903,0.3,2025-05-28 10:39:08
9,1137,3195,0.18,2025-05-28 10:39:08
10,820,3002,0.26,2025-05-28 10:39:08
11,995,2921,0.29,2025-05-28 10:39:08
12,1010,2896,0.2,2025-05-28 10:39:08
13,851,3047,0.29,2025-05-28 10:39:08
14,820,2818,0.27,2025-05-28 10:39:08
15,867,3101,0.11,2025-05-28 10:39:08
16,1077,3103,0.11,2025-05-28 10:39:08
17,1007,3164,0.21,2025-05-28 10:39:08
18,1044,3012,0.19,2025-05-28 10:39:08
19,868,2961,0.21,2025-05-28 10:39:08
20,854,2938,0.18,2025-05-28 10:39:08
21,910,3096,0.27,2025-05-28 10:39:08
22,941,3157,0.19,2025-05-28 10:39:08
23,996,3029,0.1,2025-05-28 10:39:08
24,920,3159,0.16,2025-05-28 10:39:08
25,1004,2921,0.13,2025-05-28 10:39:08
26,961,2847,0.2,2025-05-28 10:39:08
27,904,3024,0.11,2025-05-28 10:39:08
28,925,3074,0.14,2025-05-28 10:39:08
29,970,3089,0.28,2025-05-28 10:39:08
30,839,3188,0.11,2025-05-28 10:39:08
