TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1048,3058,0.28,2025-05-28 10:39:08
2,1031,2847,0.23,2025-05-28 10:39:08
3,814,2805,0.28,2025-05-28 10:39:08
4,902,2836,0.15,2025-05-28 10:39:08
5,1014,3046,0.21,2025-05-28 10:39:08
6,1008,2951,0.17,2025-05-28 10:39:08
7,1044,2955,0.1,2025-05-28 10:39:08
8,1046,2899,0.15,2025-05-28 10:39:08
9,869,2810,0.17,2025-05-28 10:39:08
10,906,2921,0.2,2025-05-28 10:39:08
11,1007,3163,0.29,2025-05-28 10:39:08
12,927,3087,0.25,2025-05-28 10:39:08
13,1096,2977,0.24,2025-05-28 10:39:08
14,1098,2909,0.16,2025-05-28 10:39:08
15,1042,3117,0.19,2025-05-28 10:39:08
16,890,3033,0.15,2025-05-28 10:39:08
17,1073,3019,0.25,2025-05-28 10:39:08
18,1097,3088,0.1,2025-05-28 10:39:08
19,838,3146,0.1,2025-05-28 10:39:08
20,856,3137,0.16,2025-05-28 10:39:08
21,815,3170,0.15,2025-05-28 10:39:08
22,815,2924,0.13,2025-05-28 10:39:08
23,941,2887,0.23,2025-05-28 10:39:08
24,1089,3170,0.1,2025-05-28 10:39:08
25,813,2979,0.16,2025-05-28 10:39:08
26,951,2895,0.22,2025-05-28 10:39:08
27,1000,3184,0.22,2025-05-28 10:39:08
28,1155,2899,0.19,2025-05-28 10:39:08
29,1043,3066,0.12,2025-05-28 10:39:08
30,1139,2828,0.29,2025-05-28 10:39:08
