TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,810,2873,0.18,2025-05-28 10:39:08
2,922,3021,0.27,2025-05-28 10:39:08
3,853,3177,0.16,2025-05-28 10:39:08
4,817,3000,0.18,2025-05-28 10:39:08
5,812,3200,0.25,2025-05-28 10:39:08
6,885,3082,0.2,2025-05-28 10:39:08
7,932,2971,0.13,2025-05-28 10:39:08
8,1036,2829,0.16,2025-05-28 10:39:08
9,848,3122,0.2,2025-05-28 10:39:08
10,1013,2885,0.22,2025-05-28 10:39:08
11,1069,3001,0.2,2025-05-28 10:39:08
12,1104,3031,0.3,2025-05-28 10:39:08
13,835,2982,0.27,2025-05-28 10:39:08
14,860,3118,0.23,2025-05-28 10:39:08
15,847,3158,0.29,2025-05-28 10:39:08
16,1110,2818,0.15,2025-05-28 10:39:08
17,1068,2835,0.3,2025-05-28 10:39:08
18,1107,3036,0.29,2025-05-28 10:39:08
19,1120,2846,0.11,2025-05-28 10:39:08
20,847,3058,0.17,2025-05-28 10:39:08
21,1023,3195,0.19,2025-05-28 10:39:08
22,909,2827,0.16,2025-05-28 10:39:08
23,933,2818,0.12,2025-05-28 10:39:08
24,1125,2953,0.2,2025-05-28 10:39:08
25,1027,2818,0.28,2025-05-28 10:39:08
26,840,2840,0.11,2025-05-28 10:39:08
27,1130,3193,0.25,2025-05-28 10:39:08
28,859,2819,0.2,2025-05-28 10:39:08
29,1191,3104,0.17,2025-05-28 10:39:08
30,810,3157,0.29,2025-05-28 10:39:08
