TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1062,2894,0.13,2025-05-28 10:39:08
2,1091,3047,0.18,2025-05-28 10:39:08
3,1146,2809,0.11,2025-05-28 10:39:08
4,910,2863,0.25,2025-05-28 10:39:08
5,978,3024,0.26,2025-05-28 10:39:08
6,853,2806,0.25,2025-05-28 10:39:08
7,1196,2932,0.16,2025-05-28 10:39:08
8,805,2926,0.26,2025-05-28 10:39:08
9,933,3097,0.29,2025-05-28 10:39:08
10,944,2953,0.11,2025-05-28 10:39:08
11,935,2829,0.19,2025-05-28 10:39:08
12,1141,3128,0.13,2025-05-28 10:39:08
13,897,2887,0.16,2025-05-28 10:39:08
14,893,3095,0.11,2025-05-28 10:39:08
15,1059,3127,0.23,2025-05-28 10:39:08
16,885,2825,0.27,2025-05-28 10:39:08
17,851,2821,0.2,2025-05-28 10:39:08
18,1134,3140,0.24,2025-05-28 10:39:08
19,1141,2909,0.18,2025-05-28 10:39:08
20,995,2843,0.29,2025-05-28 10:39:08
21,1059,3025,0.12,2025-05-28 10:39:08
22,1049,3176,0.15,2025-05-28 10:39:08
23,853,3192,0.11,2025-05-28 10:39:08
24,1133,2828,0.27,2025-05-28 10:39:08
25,985,2926,0.27,2025-05-28 10:39:08
26,930,3022,0.11,2025-05-28 10:39:08
27,971,2878,0.25,2025-05-28 10:39:08
28,857,2991,0.26,2025-05-28 10:39:08
29,832,3078,0.23,2025-05-28 10:39:08
30,806,2845,0.26,2025-05-28 10:39:08
