TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,909,3021,0.2,2025-05-28 10:39:08
2,1077,3136,0.18,2025-05-28 10:39:08
3,1167,2914,0.18,2025-05-28 10:39:08
4,1128,2921,0.26,2025-05-28 10:39:08
5,965,3135,0.13,2025-05-28 10:39:08
6,839,2952,0.29,2025-05-28 10:39:08
7,1047,2910,0.14,2025-05-28 10:39:08
8,878,2842,0.3,2025-05-28 10:39:08
9,807,3183,0.21,2025-05-28 10:39:08
10,823,3103,0.17,2025-05-28 10:39:08
11,1137,3151,0.15,2025-05-28 10:39:08
12,971,2957,0.27,2025-05-28 10:39:08
13,907,2958,0.12,2025-05-28 10:39:08
14,1173,3158,0.19,2025-05-28 10:39:08
15,948,2900,0.24,2025-05-28 10:39:08
16,806,2961,0.12,2025-05-28 10:39:08
17,815,3049,0.28,2025-05-28 10:39:08
18,1058,3171,0.25,2025-05-28 10:39:08
19,1100,2947,0.11,2025-05-28 10:39:08
20,986,3083,0.17,2025-05-28 10:39:08
21,931,2802,0.17,2025-05-28 10:39:08
22,1106,2808,0.13,2025-05-28 10:39:08
23,914,2834,0.14,2025-05-28 10:39:08
24,831,2980,0.17,2025-05-28 10:39:08
25,1019,3179,0.18,2025-05-28 10:39:08
26,1094,3095,0.16,2025-05-28 10:39:08
27,975,3048,0.19,2025-05-28 10:39:08
28,921,2979,0.23,2025-05-28 10:39:08
29,1142,2989,0.16,2025-05-28 10:39:08
30,1189,3142,0.13,2025-05-28 10:39:08
