TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1010,3162,0.27,2025-05-28 10:39:08
2,1048,3112,0.1,2025-05-28 10:39:08
3,810,3183,0.23,2025-05-28 10:39:08
4,903,3082,0.22,2025-05-28 10:39:08
5,809,2884,0.2,2025-05-28 10:39:08
6,893,3079,0.17,2025-05-28 10:39:08
7,1187,3191,0.12,2025-05-28 10:39:08
8,1199,3151,0.13,2025-05-28 10:39:08
9,1149,3033,0.2,2025-05-28 10:39:08
10,1133,2981,0.12,2025-05-28 10:39:08
11,833,2984,0.28,2025-05-28 10:39:08
12,852,2946,0.2,2025-05-28 10:39:08
13,818,3189,0.24,2025-05-28 10:39:08
14,1054,3045,0.16,2025-05-28 10:39:08
15,901,3145,0.2,2025-05-28 10:39:08
16,904,2935,0.28,2025-05-28 10:39:08
17,934,3063,0.29,2025-05-28 10:39:08
18,1065,3054,0.25,2025-05-28 10:39:08
19,1102,2928,0.16,2025-05-28 10:39:08
20,1098,3170,0.12,2025-05-28 10:39:08
21,945,3128,0.26,2025-05-28 10:39:08
22,1199,2885,0.13,2025-05-28 10:39:08
23,976,3159,0.22,2025-05-28 10:39:08
24,1011,2900,0.27,2025-05-28 10:39:08
25,815,3150,0.14,2025-05-28 10:39:08
26,876,3124,0.29,2025-05-28 10:39:08
27,1039,3027,0.29,2025-05-28 10:39:08
28,941,3113,0.16,2025-05-28 10:39:08
29,904,2976,0.28,2025-05-28 10:39:08
30,1112,2908,0.24,2025-05-28 10:39:08
