TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,915,2817,0.19,2025-05-28 10:39:08
2,921,2984,0.15,2025-05-28 10:39:08
3,802,3072,0.25,2025-05-28 10:39:08
4,859,2836,0.28,2025-05-28 10:39:08
5,932,2913,0.14,2025-05-28 10:39:08
6,896,3160,0.16,2025-05-28 10:39:08
7,1157,2933,0.27,2025-05-28 10:39:08
8,904,3112,0.25,2025-05-28 10:39:08
9,874,2862,0.13,2025-05-28 10:39:08
10,1090,2852,0.16,2025-05-28 10:39:08
11,831,3130,0.26,2025-05-28 10:39:08
12,1196,2919,0.27,2025-05-28 10:39:08
13,1129,3023,0.28,2025-05-28 10:39:08
14,995,2912,0.17,2025-05-28 10:39:08
15,884,3189,0.1,2025-05-28 10:39:08
16,1189,3054,0.17,2025-05-28 10:39:08
17,1128,2992,0.15,2025-05-28 10:39:08
18,1064,2957,0.19,2025-05-28 10:39:08
19,1012,3018,0.15,2025-05-28 10:39:08
20,924,2841,0.29,2025-05-28 10:39:08
21,947,3175,0.16,2025-05-28 10:39:08
22,1002,3117,0.11,2025-05-28 10:39:08
23,853,2845,0.25,2025-05-28 10:39:08
24,1077,3077,0.14,2025-05-28 10:39:08
25,931,3120,0.11,2025-05-28 10:39:08
26,1042,3160,0.24,2025-05-28 10:39:08
27,1170,3108,0.14,2025-05-28 10:39:08
28,851,2822,0.19,2025-05-28 10:39:08
29,844,3032,0.17,2025-05-28 10:39:08
30,816,2926,0.23,2025-05-28 10:39:08
