TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,817,3045,0.28,2025-05-28 10:39:08
2,1057,3101,0.23,2025-05-28 10:39:08
3,1139,3039,0.27,2025-05-28 10:39:08
4,1094,2874,0.13,2025-05-28 10:39:08
5,1068,3005,0.2,2025-05-28 10:39:08
6,1100,2863,0.16,2025-05-28 10:39:08
7,933,2894,0.21,2025-05-28 10:39:08
8,1066,2992,0.13,2025-05-28 10:39:08
9,814,2867,0.27,2025-05-28 10:39:08
10,1181,2903,0.22,2025-05-28 10:39:08
11,995,3128,0.12,2025-05-28 10:39:08
12,931,2827,0.18,2025-05-28 10:39:08
13,1112,3171,0.29,2025-05-28 10:39:08
14,920,3098,0.24,2025-05-28 10:39:08
15,1067,3193,0.19,2025-05-28 10:39:08
16,1135,2948,0.26,2025-05-28 10:39:08
17,961,2948,0.21,2025-05-28 10:39:08
18,1133,3048,0.13,2025-05-28 10:39:08
19,999,3029,0.17,2025-05-28 10:39:08
20,986,2946,0.11,2025-05-28 10:39:08
21,1009,2863,0.2,2025-05-28 10:39:08
22,863,2809,0.11,2025-05-28 10:39:08
23,1165,2881,0.1,2025-05-28 10:39:08
24,1135,2926,0.11,2025-05-28 10:39:08
25,963,2998,0.21,2025-05-28 10:39:08
26,1184,2882,0.11,2025-05-28 10:39:08
27,1029,3066,0.28,2025-05-28 10:39:08
28,979,3027,0.26,2025-05-28 10:39:08
29,1041,2907,0.19,2025-05-28 10:39:08
30,874,3097,0.11,2025-05-28 10:39:08
