TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1077,2873,0.27,2025-05-28 10:39:08
2,841,3153,0.27,2025-05-28 10:39:08
3,993,3052,0.13,2025-05-28 10:39:08
4,914,2912,0.11,2025-05-28 10:39:08
5,894,2881,0.15,2025-05-28 10:39:08
6,937,3033,0.2,2025-05-28 10:39:08
7,880,3021,0.18,2025-05-28 10:39:08
8,822,3067,0.15,2025-05-28 10:39:08
9,821,3073,0.28,2025-05-28 10:39:08
10,841,3037,0.28,2025-05-28 10:39:08
11,1148,2839,0.16,2025-05-28 10:39:08
12,827,2816,0.12,2025-05-28 10:39:08
13,926,3153,0.28,2025-05-28 10:39:08
14,984,3057,0.23,2025-05-28 10:39:08
15,907,3077,0.18,2025-05-28 10:39:08
16,909,3016,0.16,2025-05-28 10:39:08
17,911,2875,0.15,2025-05-28 10:39:08
18,997,3168,0.29,2025-05-28 10:39:08
19,857,2974,0.24,2025-05-28 10:39:08
20,935,2900,0.13,2025-05-28 10:39:08
21,1021,3126,0.17,2025-05-28 10:39:08
22,1154,3020,0.19,2025-05-28 10:39:08
23,951,3175,0.19,2025-05-28 10:39:08
24,971,3148,0.18,2025-05-28 10:39:08
25,824,2834,0.13,2025-05-28 10:39:08
26,1045,2844,0.29,2025-05-28 10:39:08
27,1026,2902,0.16,2025-05-28 10:39:08
28,994,3136,0.13,2025-05-28 10:39:08
29,1115,3088,0.16,2025-05-28 10:39:08
30,800,3066,0.16,2025-05-28 10:39:08
