TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1116,2964,0.19,2025-05-28 10:39:09
2,956,2808,0.13,2025-05-28 10:39:09
3,1122,2891,0.15,2025-05-28 10:39:09
4,1158,3085,0.18,2025-05-28 10:39:09
5,1081,2975,0.26,2025-05-28 10:39:09
6,999,3016,0.23,2025-05-28 10:39:09
7,903,3194,0.2,2025-05-28 10:39:09
8,876,3013,0.19,2025-05-28 10:39:09
9,816,2838,0.25,2025-05-28 10:39:09
10,1083,2967,0.27,2025-05-28 10:39:09
11,1166,2816,0.17,2025-05-28 10:39:09
12,1151,2942,0.22,2025-05-28 10:39:09
13,986,2945,0.29,2025-05-28 10:39:09
14,903,2989,0.17,2025-05-28 10:39:09
15,967,2892,0.18,2025-05-28 10:39:09
16,840,2835,0.26,2025-05-28 10:39:09
17,899,3019,0.28,2025-05-28 10:39:09
18,1060,3180,0.22,2025-05-28 10:39:09
19,1191,3107,0.18,2025-05-28 10:39:09
20,841,3179,0.27,2025-05-28 10:39:09
21,976,2815,0.25,2025-05-28 10:39:09
22,1156,2967,0.14,2025-05-28 10:39:09
23,800,3194,0.25,2025-05-28 10:39:09
24,1037,3059,0.18,2025-05-28 10:39:09
25,1147,2809,0.15,2025-05-28 10:39:09
26,860,2839,0.24,2025-05-28 10:39:09
27,874,2908,0.23,2025-05-28 10:39:09
28,1153,2823,0.14,2025-05-28 10:39:09
29,878,2905,0.21,2025-05-28 10:39:09
30,915,3006,0.27,2025-05-28 10:39:09
