TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,939,2802,0.25,2025-05-28 10:39:09
2,876,2948,0.3,2025-05-28 10:39:09
3,980,3066,0.1,2025-05-28 10:39:09
4,1181,2959,0.16,2025-05-28 10:39:09
5,1078,3177,0.1,2025-05-28 10:39:09
6,1107,3062,0.17,2025-05-28 10:39:09
7,1083,2946,0.29,2025-05-28 10:39:09
8,874,3076,0.22,2025-05-28 10:39:09
9,1112,2872,0.11,2025-05-28 10:39:09
10,929,2807,0.1,2025-05-28 10:39:09
11,1098,2859,0.14,2025-05-28 10:39:09
12,931,2995,0.16,2025-05-28 10:39:09
13,935,3185,0.23,2025-05-28 10:39:09
14,925,2869,0.17,2025-05-28 10:39:09
15,1028,3126,0.21,2025-05-28 10:39:09
16,1144,3108,0.23,2025-05-28 10:39:09
17,1194,3101,0.12,2025-05-28 10:39:09
18,875,2922,0.19,2025-05-28 10:39:09
19,852,2998,0.12,2025-05-28 10:39:09
20,960,2852,0.14,2025-05-28 10:39:09
21,1098,2973,0.29,2025-05-28 10:39:09
22,1101,2891,0.22,2025-05-28 10:39:09
23,1165,2884,0.17,2025-05-28 10:39:09
24,1160,2929,0.19,2025-05-28 10:39:09
25,885,2848,0.12,2025-05-28 10:39:09
26,801,2843,0.18,2025-05-28 10:39:09
27,960,2945,0.24,2025-05-28 10:39:09
28,958,2964,0.21,2025-05-28 10:39:09
29,1181,3134,0.25,2025-05-28 10:39:09
30,1131,3000,0.12,2025-05-28 10:39:09
