TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,949,3199,0.19,2025-05-28 10:39:09
2,922,3028,0.12,2025-05-28 10:39:09
3,981,3003,0.18,2025-05-28 10:39:09
4,997,3087,0.17,2025-05-28 10:39:09
5,816,3065,0.17,2025-05-28 10:39:09
6,815,2865,0.26,2025-05-28 10:39:09
7,866,3022,0.27,2025-05-28 10:39:09
8,920,3079,0.24,2025-05-28 10:39:09
9,916,2864,0.21,2025-05-28 10:39:09
10,1196,2825,0.14,2025-05-28 10:39:09
11,869,2984,0.11,2025-05-28 10:39:09
12,1144,3151,0.19,2025-05-28 10:39:09
13,952,3148,0.29,2025-05-28 10:39:09
14,1025,3136,0.23,2025-05-28 10:39:09
15,1196,3060,0.11,2025-05-28 10:39:09
16,835,2930,0.13,2025-05-28 10:39:09
17,1164,2805,0.23,2025-05-28 10:39:09
18,1126,2846,0.11,2025-05-28 10:39:09
19,908,3096,0.28,2025-05-28 10:39:09
20,1023,3047,0.15,2025-05-28 10:39:09
21,1069,2944,0.28,2025-05-28 10:39:09
22,1146,2909,0.29,2025-05-28 10:39:09
23,1190,2987,0.26,2025-05-28 10:39:09
24,1189,3027,0.24,2025-05-28 10:39:09
25,1113,2815,0.18,2025-05-28 10:39:09
26,945,2989,0.26,2025-05-28 10:39:09
27,1153,3027,0.3,2025-05-28 10:39:09
28,1093,3136,0.16,2025-05-28 10:39:09
29,842,2906,0.24,2025-05-28 10:39:09
30,901,3157,0.24,2025-05-28 10:39:09
