TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1156,2963,0.12,2025-05-28 10:39:09
2,1081,3162,0.22,2025-05-28 10:39:09
3,1107,2895,0.27,2025-05-28 10:39:09
4,1089,3133,0.2,2025-05-28 10:39:09
5,954,3004,0.2,2025-05-28 10:39:09
6,990,2901,0.25,2025-05-28 10:39:09
7,1027,3147,0.22,2025-05-28 10:39:09
8,871,3018,0.29,2025-05-28 10:39:09
9,997,2886,0.1,2025-05-28 10:39:09
10,996,2953,0.15,2025-05-28 10:39:09
11,990,2937,0.12,2025-05-28 10:39:09
12,924,3093,0.29,2025-05-28 10:39:09
13,1065,3086,0.15,2025-05-28 10:39:09
14,1091,2899,0.21,2025-05-28 10:39:09
15,1009,2843,0.26,2025-05-28 10:39:09
16,1147,2888,0.24,2025-05-28 10:39:09
17,1195,3065,0.13,2025-05-28 10:39:09
18,849,2982,0.13,2025-05-28 10:39:09
19,1088,3049,0.18,2025-05-28 10:39:09
20,1188,2850,0.15,2025-05-28 10:39:09
21,896,3032,0.3,2025-05-28 10:39:09
22,848,3102,0.14,2025-05-28 10:39:09
23,1065,3023,0.2,2025-05-28 10:39:09
24,1134,2967,0.11,2025-05-28 10:39:09
25,836,3191,0.22,2025-05-28 10:39:09
26,867,3081,0.12,2025-05-28 10:39:09
27,1103,2855,0.28,2025-05-28 10:39:09
28,980,2926,0.29,2025-05-28 10:39:09
29,890,2998,0.21,2025-05-28 10:39:09
30,964,2876,0.11,2025-05-28 10:39:09
