TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,989,2898,0.16,2025-05-28 10:39:09
2,1048,2835,0.2,2025-05-28 10:39:09
3,1192,2939,0.13,2025-05-28 10:39:09
4,846,2840,0.12,2025-05-28 10:39:09
5,832,2989,0.19,2025-05-28 10:39:09
6,971,2810,0.24,2025-05-28 10:39:09
7,1105,3054,0.21,2025-05-28 10:39:09
8,868,3042,0.21,2025-05-28 10:39:09
9,1104,2801,0.18,2025-05-28 10:39:09
10,1135,2815,0.28,2025-05-28 10:39:09
11,897,3031,0.13,2025-05-28 10:39:09
12,957,3123,0.21,2025-05-28 10:39:09
13,1012,2978,0.24,2025-05-28 10:39:09
14,1099,3017,0.26,2025-05-28 10:39:09
15,924,2982,0.22,2025-05-28 10:39:09
16,1089,2859,0.27,2025-05-28 10:39:09
17,1185,2835,0.1,2025-05-28 10:39:09
18,884,2918,0.13,2025-05-28 10:39:09
19,822,2835,0.19,2025-05-28 10:39:09
20,900,2868,0.26,2025-05-28 10:39:09
21,1125,2929,0.12,2025-05-28 10:39:09
22,1152,2805,0.25,2025-05-28 10:39:09
23,824,2941,0.14,2025-05-28 10:39:09
24,1114,2921,0.28,2025-05-28 10:39:09
25,985,2910,0.17,2025-05-28 10:39:09
26,1075,2864,0.27,2025-05-28 10:39:09
27,1109,3002,0.18,2025-05-28 10:39:09
28,927,3139,0.12,2025-05-28 10:39:09
29,1032,2807,0.12,2025-05-28 10:39:09
30,967,3000,0.13,2025-05-28 10:39:09
