TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,803,2842,0.27,2025-05-28 10:39:08
2,985,3198,0.26,2025-05-28 10:39:08
3,1089,2937,0.27,2025-05-28 10:39:08
4,1077,2976,0.21,2025-05-28 10:39:08
5,969,3092,0.1,2025-05-28 10:39:08
6,1048,2961,0.12,2025-05-28 10:39:08
7,1178,3033,0.11,2025-05-28 10:39:08
8,839,3076,0.15,2025-05-28 10:39:08
9,1067,3000,0.23,2025-05-28 10:39:08
10,898,2827,0.22,2025-05-28 10:39:08
11,967,3154,0.17,2025-05-28 10:39:08
12,1002,3135,0.23,2025-05-28 10:39:08
13,1170,3193,0.29,2025-05-28 10:39:08
14,1187,3155,0.19,2025-05-28 10:39:08
15,832,3007,0.19,2025-05-28 10:39:08
16,849,3122,0.18,2025-05-28 10:39:08
17,1039,3138,0.27,2025-05-28 10:39:08
18,1046,2843,0.15,2025-05-28 10:39:08
19,886,2996,0.14,2025-05-28 10:39:08
20,912,2900,0.21,2025-05-28 10:39:08
21,1158,2989,0.29,2025-05-28 10:39:08
22,1186,2918,0.2,2025-05-28 10:39:08
23,965,2835,0.2,2025-05-28 10:39:08
24,1200,3175,0.17,2025-05-28 10:39:08
25,935,2938,0.14,2025-05-28 10:39:08
26,873,3130,0.1,2025-05-28 10:39:08
27,1065,3164,0.1,2025-05-28 10:39:08
28,922,2914,0.12,2025-05-28 10:39:08
29,1104,2994,0.25,2025-05-28 10:39:08
30,906,3046,0.18,2025-05-28 10:39:08
