TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1176,3164,0.26,2025-05-28 10:39:08
2,1132,3170,0.15,2025-05-28 10:39:08
3,841,2987,0.23,2025-05-28 10:39:08
4,955,3164,0.16,2025-05-28 10:39:08
5,809,3034,0.17,2025-05-28 10:39:08
6,874,2820,0.17,2025-05-28 10:39:08
7,1052,3128,0.29,2025-05-28 10:39:08
8,818,2941,0.29,2025-05-28 10:39:08
9,890,2890,0.3,2025-05-28 10:39:08
10,1183,2877,0.26,2025-05-28 10:39:08
11,865,2969,0.28,2025-05-28 10:39:08
12,958,3002,0.18,2025-05-28 10:39:08
13,1177,2937,0.19,2025-05-28 10:39:08
14,824,2998,0.24,2025-05-28 10:39:08
15,1018,2923,0.27,2025-05-28 10:39:08
16,822,2956,0.13,2025-05-28 10:39:08
17,1070,2824,0.13,2025-05-28 10:39:08
18,956,3190,0.29,2025-05-28 10:39:08
19,1020,2864,0.23,2025-05-28 10:39:08
20,1163,3059,0.11,2025-05-28 10:39:08
21,883,3042,0.13,2025-05-28 10:39:08
22,921,3158,0.12,2025-05-28 10:39:08
23,978,2983,0.19,2025-05-28 10:39:08
24,1152,2948,0.2,2025-05-28 10:39:08
25,1002,2856,0.27,2025-05-28 10:39:08
26,821,3096,0.24,2025-05-28 10:39:08
27,1064,2910,0.15,2025-05-28 10:39:08
28,904,3108,0.21,2025-05-28 10:39:08
29,922,2823,0.16,2025-05-28 10:39:08
30,1017,3107,0.13,2025-05-28 10:39:08
