TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1031,3112,0.3,2025-05-28 10:39:08
2,1097,2978,0.21,2025-05-28 10:39:08
3,1074,3078,0.11,2025-05-28 10:39:08
4,1110,2959,0.16,2025-05-28 10:39:08
5,926,2832,0.11,2025-05-28 10:39:08
6,1050,2890,0.1,2025-05-28 10:39:08
7,1037,2974,0.21,2025-05-28 10:39:08
8,982,3018,0.18,2025-05-28 10:39:08
9,1198,2960,0.26,2025-05-28 10:39:08
10,1186,2846,0.25,2025-05-28 10:39:08
11,1188,2857,0.21,2025-05-28 10:39:08
12,941,2826,0.28,2025-05-28 10:39:08
13,1145,3078,0.25,2025-05-28 10:39:08
14,809,3008,0.26,2025-05-28 10:39:08
15,946,3133,0.25,2025-05-28 10:39:08
16,1145,3078,0.16,2025-05-28 10:39:08
17,932,2952,0.13,2025-05-28 10:39:08
18,1054,2885,0.25,2025-05-28 10:39:08
19,974,2842,0.28,2025-05-28 10:39:08
20,894,2993,0.1,2025-05-28 10:39:08
21,816,3023,0.22,2025-05-28 10:39:08
22,1020,3003,0.12,2025-05-28 10:39:08
23,1041,2921,0.16,2025-05-28 10:39:08
24,1129,2818,0.16,2025-05-28 10:39:08
25,927,2977,0.17,2025-05-28 10:39:08
26,959,2972,0.28,2025-05-28 10:39:08
27,1068,3198,0.16,2025-05-28 10:39:08
28,887,2854,0.24,2025-05-28 10:39:08
29,1053,2807,0.29,2025-05-28 10:39:08
30,1027,2869,0.11,2025-05-28 10:39:08
