TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,905,2804,0.27,2025-05-28 10:39:08
2,935,3176,0.19,2025-05-28 10:39:08
3,1059,3032,0.12,2025-05-28 10:39:08
4,992,2859,0.1,2025-05-28 10:39:08
5,1190,2836,0.13,2025-05-28 10:39:08
6,1083,2976,0.16,2025-05-28 10:39:08
7,1150,3089,0.14,2025-05-28 10:39:08
8,837,3139,0.12,2025-05-28 10:39:08
9,967,2896,0.2,2025-05-28 10:39:08
10,848,2829,0.28,2025-05-28 10:39:08
11,1049,3041,0.17,2025-05-28 10:39:08
12,1081,2809,0.11,2025-05-28 10:39:08
13,1052,2937,0.17,2025-05-28 10:39:08
14,1076,3021,0.13,2025-05-28 10:39:08
15,838,2918,0.18,2025-05-28 10:39:08
16,814,3186,0.13,2025-05-28 10:39:08
17,1164,2972,0.14,2025-05-28 10:39:08
18,954,2860,0.1,2025-05-28 10:39:08
19,843,3153,0.14,2025-05-28 10:39:08
20,1108,3116,0.12,2025-05-28 10:39:08
21,1127,2989,0.16,2025-05-28 10:39:08
22,986,3061,0.24,2025-05-28 10:39:08
23,830,2994,0.21,2025-05-28 10:39:08
24,1036,3117,0.25,2025-05-28 10:39:08
25,1054,2811,0.25,2025-05-28 10:39:08
26,908,2987,0.28,2025-05-28 10:39:08
27,804,3173,0.25,2025-05-28 10:39:08
28,1159,2851,0.25,2025-05-28 10:39:08
29,818,2941,0.11,2025-05-28 10:39:08
30,817,2848,0.26,2025-05-28 10:39:08
