TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1117,3115,0.21,2025-05-28 10:39:08
2,1187,2909,0.1,2025-05-28 10:39:08
3,938,3150,0.27,2025-05-28 10:39:08
4,1049,3024,0.1,2025-05-28 10:39:08
5,885,2818,0.27,2025-05-28 10:39:08
6,1099,3001,0.15,2025-05-28 10:39:08
7,925,3093,0.3,2025-05-28 10:39:08
8,925,3042,0.15,2025-05-28 10:39:08
9,915,2963,0.14,2025-05-28 10:39:08
10,829,3195,0.21,2025-05-28 10:39:08
11,804,3001,0.28,2025-05-28 10:39:08
12,1110,2858,0.26,2025-05-28 10:39:08
13,818,2840,0.27,2025-05-28 10:39:08
14,1165,3101,0.3,2025-05-28 10:39:08
15,824,2935,0.14,2025-05-28 10:39:08
16,1175,3008,0.12,2025-05-28 10:39:08
17,991,2822,0.22,2025-05-28 10:39:08
18,1182,2992,0.17,2025-05-28 10:39:08
19,972,2958,0.2,2025-05-28 10:39:08
20,811,2861,0.27,2025-05-28 10:39:08
21,1132,3153,0.29,2025-05-28 10:39:08
22,1154,3093,0.29,2025-05-28 10:39:08
23,1058,2967,0.15,2025-05-28 10:39:08
24,924,3078,0.2,2025-05-28 10:39:08
25,1032,2933,0.29,2025-05-28 10:39:08
26,982,3068,0.17,2025-05-28 10:39:08
27,1108,2942,0.27,2025-05-28 10:39:08
28,1104,2807,0.21,2025-05-28 10:39:08
29,1106,2977,0.18,2025-05-28 10:39:08
30,1129,2917,0.29,2025-05-28 10:39:08
