TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,851,3060,0.28,2025-05-28 10:39:09
2,810,3092,0.19,2025-05-28 10:39:09
3,1037,3132,0.29,2025-05-28 10:39:09
4,1184,3031,0.15,2025-05-28 10:39:09
5,880,2923,0.11,2025-05-28 10:39:09
6,1154,3153,0.18,2025-05-28 10:39:09
7,910,3056,0.26,2025-05-28 10:39:09
8,824,3052,0.28,2025-05-28 10:39:09
9,821,2854,0.18,2025-05-28 10:39:09
10,1147,2902,0.2,2025-05-28 10:39:09
11,908,3041,0.21,2025-05-28 10:39:09
12,1007,2986,0.17,2025-05-28 10:39:09
13,1143,2866,0.16,2025-05-28 10:39:09
14,1031,3067,0.2,2025-05-28 10:39:09
15,1170,3000,0.22,2025-05-28 10:39:09
16,975,3097,0.22,2025-05-28 10:39:09
17,1164,2948,0.13,2025-05-28 10:39:09
18,1062,3097,0.29,2025-05-28 10:39:09
19,919,2995,0.2,2025-05-28 10:39:09
20,822,2850,0.27,2025-05-28 10:39:09
21,1018,3051,0.15,2025-05-28 10:39:09
22,910,3085,0.2,2025-05-28 10:39:09
23,1080,2865,0.16,2025-05-28 10:39:09
24,1166,3148,0.21,2025-05-28 10:39:09
25,1138,3041,0.3,2025-05-28 10:39:09
26,1121,3056,0.18,2025-05-28 10:39:09
27,992,3100,0.2,2025-05-28 10:39:09
28,1161,2951,0.28,2025-05-28 10:39:09
29,821,3191,0.11,2025-05-28 10:39:09
30,1098,3182,0.23,2025-05-28 10:39:09
