TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,991,3066,0.14,2025-05-28 10:39:09
2,967,3184,0.3,2025-05-28 10:39:09
3,1105,3020,0.19,2025-05-28 10:39:09
4,1028,2891,0.24,2025-05-28 10:39:09
5,1134,2982,0.14,2025-05-28 10:39:09
6,1057,2818,0.14,2025-05-28 10:39:09
7,1040,2999,0.1,2025-05-28 10:39:09
8,935,2938,0.12,2025-05-28 10:39:09
9,1192,2970,0.27,2025-05-28 10:39:09
10,968,3023,0.25,2025-05-28 10:39:09
11,1079,2886,0.24,2025-05-28 10:39:09
12,911,3066,0.27,2025-05-28 10:39:09
13,922,2994,0.22,2025-05-28 10:39:09
14,1140,2987,0.27,2025-05-28 10:39:09
15,1104,2925,0.13,2025-05-28 10:39:09
16,941,2836,0.15,2025-05-28 10:39:09
17,1120,3114,0.19,2025-05-28 10:39:09
18,1074,2857,0.21,2025-05-28 10:39:09
19,1133,3016,0.12,2025-05-28 10:39:09
20,1129,2943,0.18,2025-05-28 10:39:09
21,1151,3022,0.26,2025-05-28 10:39:09
22,1087,3063,0.26,2025-05-28 10:39:09
23,1038,2890,0.25,2025-05-28 10:39:09
24,1191,2920,0.15,2025-05-28 10:39:09
25,954,3101,0.27,2025-05-28 10:39:09
26,911,3167,0.28,2025-05-28 10:39:09
27,989,3004,0.2,2025-05-28 10:39:09
28,809,2936,0.26,2025-05-28 10:39:09
29,1108,2997,0.15,2025-05-28 10:39:09
30,1184,2971,0.17,2025-05-28 10:39:09
