TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,969,3082,0.17,2025-05-28 10:39:09
2,1075,3012,0.11,2025-05-28 10:39:09
3,861,3058,0.3,2025-05-28 10:39:09
4,1125,2956,0.23,2025-05-28 10:39:09
5,1164,2967,0.12,2025-05-28 10:39:09
6,892,3147,0.28,2025-05-28 10:39:09
7,952,2993,0.11,2025-05-28 10:39:09
8,986,3075,0.16,2025-05-28 10:39:09
9,888,3107,0.11,2025-05-28 10:39:09
10,1153,3102,0.15,2025-05-28 10:39:09
11,969,3053,0.26,2025-05-28 10:39:09
12,827,2954,0.15,2025-05-28 10:39:09
13,851,3038,0.12,2025-05-28 10:39:09
14,1087,3068,0.13,2025-05-28 10:39:09
15,1071,3032,0.25,2025-05-28 10:39:09
16,1147,3050,0.23,2025-05-28 10:39:09
17,918,2920,0.26,2025-05-28 10:39:09
18,1035,3094,0.26,2025-05-28 10:39:09
19,1187,3172,0.12,2025-05-28 10:39:09
20,1113,2870,0.12,2025-05-28 10:39:09
21,962,3019,0.17,2025-05-28 10:39:09
22,865,2971,0.22,2025-05-28 10:39:09
23,1130,2805,0.14,2025-05-28 10:39:09
24,1156,3046,0.11,2025-05-28 10:39:09
25,1060,3115,0.23,2025-05-28 10:39:09
26,1024,3061,0.11,2025-05-28 10:39:09
27,1091,2906,0.23,2025-05-28 10:39:09
28,1156,2889,0.3,2025-05-28 10:39:09
29,903,3104,0.12,2025-05-28 10:39:09
30,1149,2845,0.25,2025-05-28 10:39:09
