TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,943,3148,0.18,2025-05-28 10:39:09
2,866,2955,0.24,2025-05-28 10:39:09
3,854,2967,0.16,2025-05-28 10:39:09
4,809,3099,0.11,2025-05-28 10:39:09
5,964,3121,0.22,2025-05-28 10:39:09
6,1050,3000,0.26,2025-05-28 10:39:09
7,803,3039,0.24,2025-05-28 10:39:09
8,1132,2940,0.15,2025-05-28 10:39:09
9,1036,2841,0.16,2025-05-28 10:39:09
10,981,2828,0.25,2025-05-28 10:39:09
11,1060,3084,0.13,2025-05-28 10:39:09
12,839,3177,0.15,2025-05-28 10:39:09
13,1158,3068,0.13,2025-05-28 10:39:09
14,872,3196,0.13,2025-05-28 10:39:09
15,885,3190,0.19,2025-05-28 10:39:09
16,1200,2866,0.15,2025-05-28 10:39:09
17,986,3005,0.29,2025-05-28 10:39:09
18,807,2819,0.28,2025-05-28 10:39:09
19,1187,3000,0.21,2025-05-28 10:39:09
20,836,3016,0.1,2025-05-28 10:39:09
21,1012,3056,0.26,2025-05-28 10:39:09
22,1038,3167,0.2,2025-05-28 10:39:09
23,1140,2803,0.21,2025-05-28 10:39:09
24,889,3010,0.12,2025-05-28 10:39:09
25,922,3072,0.17,2025-05-28 10:39:09
26,965,3165,0.15,2025-05-28 10:39:09
27,1181,3036,0.16,2025-05-28 10:39:09
28,1042,2802,0.16,2025-05-28 10:39:09
29,1061,2864,0.12,2025-05-28 10:39:09
30,994,2861,0.18,2025-05-28 10:39:09
