TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,907,3037,0.15,2025-05-28 10:39:09
2,1144,2918,0.14,2025-05-28 10:39:09
3,862,2921,0.13,2025-05-28 10:39:09
4,1048,3153,0.25,2025-05-28 10:39:09
5,891,2826,0.22,2025-05-28 10:39:09
6,800,3013,0.28,2025-05-28 10:39:09
7,823,2875,0.12,2025-05-28 10:39:09
8,840,3108,0.24,2025-05-28 10:39:09
9,947,3032,0.12,2025-05-28 10:39:09
10,1002,2917,0.26,2025-05-28 10:39:09
11,995,2918,0.13,2025-05-28 10:39:09
12,1091,3197,0.11,2025-05-28 10:39:09
13,934,2825,0.21,2025-05-28 10:39:09
14,1039,3189,0.27,2025-05-28 10:39:09
15,1164,2806,0.15,2025-05-28 10:39:09
16,854,3029,0.16,2025-05-28 10:39:09
17,954,2839,0.3,2025-05-28 10:39:09
18,1061,2991,0.21,2025-05-28 10:39:09
19,1065,3008,0.22,2025-05-28 10:39:09
20,871,2933,0.12,2025-05-28 10:39:09
21,979,2818,0.11,2025-05-28 10:39:09
22,1200,2890,0.19,2025-05-28 10:39:09
23,857,2886,0.26,2025-05-28 10:39:09
24,1085,3131,0.21,2025-05-28 10:39:09
25,808,2932,0.15,2025-05-28 10:39:09
26,1071,3134,0.28,2025-05-28 10:39:09
27,1193,2964,0.1,2025-05-28 10:39:09
28,1124,3019,0.27,2025-05-28 10:39:09
29,1184,3196,0.28,2025-05-28 10:39:09
30,1163,3184,0.28,2025-05-28 10:39:09
