TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,878,2997,0.13,2025-05-28 10:39:09
2,1048,2960,0.22,2025-05-28 10:39:09
3,899,2809,0.14,2025-05-28 10:39:09
4,926,3069,0.27,2025-05-28 10:39:09
5,910,2897,0.12,2025-05-28 10:39:09
6,829,2959,0.15,2025-05-28 10:39:09
7,879,2952,0.28,2025-05-28 10:39:09
8,906,3078,0.24,2025-05-28 10:39:09
9,897,2938,0.3,2025-05-28 10:39:09
10,1017,3012,0.22,2025-05-28 10:39:09
11,881,2822,0.17,2025-05-28 10:39:09
12,1168,2936,0.11,2025-05-28 10:39:09
13,1139,3024,0.24,2025-05-28 10:39:09
14,889,3050,0.18,2025-05-28 10:39:09
15,1101,3118,0.19,2025-05-28 10:39:09
16,935,3148,0.21,2025-05-28 10:39:09
17,995,3107,0.18,2025-05-28 10:39:09
18,950,3102,0.18,2025-05-28 10:39:09
19,1039,3036,0.14,2025-05-28 10:39:09
20,956,3175,0.22,2025-05-28 10:39:09
21,861,2874,0.21,2025-05-28 10:39:09
22,943,3114,0.27,2025-05-28 10:39:09
23,972,3121,0.13,2025-05-28 10:39:09
24,1148,3185,0.11,2025-05-28 10:39:09
25,956,3016,0.29,2025-05-28 10:39:09
26,858,2924,0.3,2025-05-28 10:39:09
27,986,3192,0.2,2025-05-28 10:39:09
28,1153,3126,0.28,2025-05-28 10:39:09
29,1103,3009,0.16,2025-05-28 10:39:09
30,922,3193,0.11,2025-05-28 10:39:09
