TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,971,3104,0.14,2025-05-28 10:39:09
2,1078,3057,0.19,2025-05-28 10:39:09
3,941,3020,0.26,2025-05-28 10:39:09
4,919,3058,0.14,2025-05-28 10:39:09
5,1114,3032,0.17,2025-05-28 10:39:09
6,1129,2820,0.3,2025-05-28 10:39:09
7,918,2860,0.18,2025-05-28 10:39:09
8,985,3051,0.26,2025-05-28 10:39:09
9,921,3110,0.19,2025-05-28 10:39:09
10,1054,2996,0.1,2025-05-28 10:39:09
11,1050,2987,0.16,2025-05-28 10:39:09
12,1034,3012,0.28,2025-05-28 10:39:09
13,1102,2812,0.25,2025-05-28 10:39:09
14,916,3020,0.28,2025-05-28 10:39:09
15,829,2824,0.15,2025-05-28 10:39:09
16,944,2808,0.2,2025-05-28 10:39:09
17,1010,3144,0.24,2025-05-28 10:39:09
18,990,3141,0.26,2025-05-28 10:39:09
19,1002,2855,0.14,2025-05-28 10:39:09
20,1122,2989,0.1,2025-05-28 10:39:09
21,846,2953,0.25,2025-05-28 10:39:09
22,984,2933,0.23,2025-05-28 10:39:09
23,834,3156,0.15,2025-05-28 10:39:09
24,927,2827,0.21,2025-05-28 10:39:09
25,1036,2931,0.14,2025-05-28 10:39:09
26,827,2825,0.13,2025-05-28 10:39:09
27,951,3172,0.25,2025-05-28 10:39:09
28,1027,3015,0.19,2025-05-28 10:39:09
29,991,2815,0.25,2025-05-28 10:39:09
30,881,2984,0.21,2025-05-28 10:39:09
