TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,957,3058,0.23,2025-05-28 10:39:09
2,900,3035,0.12,2025-05-28 10:39:09
3,942,3006,0.19,2025-05-28 10:39:09
4,994,2878,0.11,2025-05-28 10:39:09
5,807,2957,0.13,2025-05-28 10:39:09
6,898,2954,0.2,2025-05-28 10:39:09
7,1198,2816,0.14,2025-05-28 10:39:09
8,830,3128,0.14,2025-05-28 10:39:09
9,929,2874,0.21,2025-05-28 10:39:09
10,1035,3006,0.16,2025-05-28 10:39:09
11,989,3176,0.21,2025-05-28 10:39:09
12,1159,2814,0.15,2025-05-28 10:39:09
13,1191,2849,0.28,2025-05-28 10:39:09
14,900,2948,0.17,2025-05-28 10:39:09
15,1199,2887,0.2,2025-05-28 10:39:09
16,807,3041,0.2,2025-05-28 10:39:09
17,935,3015,0.21,2025-05-28 10:39:09
18,993,3057,0.27,2025-05-28 10:39:09
19,929,2984,0.26,2025-05-28 10:39:09
20,1157,2829,0.14,2025-05-28 10:39:09
21,1012,3019,0.26,2025-05-28 10:39:09
22,1142,3137,0.15,2025-05-28 10:39:09
23,844,3175,0.29,2025-05-28 10:39:09
24,897,3039,0.27,2025-05-28 10:39:09
25,851,3152,0.15,2025-05-28 10:39:09
26,932,2872,0.3,2025-05-28 10:39:09
27,1135,2892,0.28,2025-05-28 10:39:09
28,948,2956,0.15,2025-05-28 10:39:09
29,885,2807,0.23,2025-05-28 10:39:09
30,1064,2965,0.27,2025-05-28 10:39:09
