TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,901,3006,0.11,2025-05-28 10:39:09
2,1030,3142,0.26,2025-05-28 10:39:09
3,834,2851,0.16,2025-05-28 10:39:09
4,1134,2949,0.18,2025-05-28 10:39:09
5,878,2924,0.27,2025-05-28 10:39:09
6,1134,2848,0.27,2025-05-28 10:39:09
7,1032,3192,0.15,2025-05-28 10:39:09
8,913,2851,0.2,2025-05-28 10:39:09
9,1077,2896,0.28,2025-05-28 10:39:09
10,988,3054,0.15,2025-05-28 10:39:09
11,1150,3000,0.28,2025-05-28 10:39:09
12,897,3159,0.25,2025-05-28 10:39:09
13,965,3169,0.23,2025-05-28 10:39:09
14,845,3091,0.15,2025-05-28 10:39:09
15,1077,3094,0.21,2025-05-28 10:39:09
16,1175,3083,0.18,2025-05-28 10:39:09
17,1187,3112,0.21,2025-05-28 10:39:09
18,1172,2834,0.25,2025-05-28 10:39:09
19,937,2946,0.17,2025-05-28 10:39:09
20,876,2887,0.27,2025-05-28 10:39:09
21,1192,3044,0.3,2025-05-28 10:39:09
22,1129,3167,0.11,2025-05-28 10:39:09
23,1171,3134,0.21,2025-05-28 10:39:09
24,1077,3099,0.11,2025-05-28 10:39:09
25,1200,3005,0.14,2025-05-28 10:39:09
26,954,2897,0.21,2025-05-28 10:39:09
27,950,2876,0.11,2025-05-28 10:39:09
28,893,3047,0.19,2025-05-28 10:39:09
29,942,3180,0.29,2025-05-28 10:39:09
30,842,3110,0.28,2025-05-28 10:39:09
