TIME_DAYS,OIL_RATE,PRESSURE,WATER_CUT,UPDATED_AT
1,1106,2990,0.12,2025-05-28 10:39:09
2,853,2840,0.12,2025-05-28 10:39:09
3,924,3187,0.29,2025-05-28 10:39:09
4,1014,2873,0.13,2025-05-28 10:39:09
5,814,3159,0.28,2025-05-28 10:39:09
6,893,2814,0.23,2025-05-28 10:39:09
7,820,2821,0.16,2025-05-28 10:39:09
8,935,3194,0.27,2025-05-28 10:39:09
9,980,2918,0.15,2025-05-28 10:39:09
10,903,3138,0.25,2025-05-28 10:39:09
11,1029,3041,0.12,2025-05-28 10:39:09
12,1045,3088,0.27,2025-05-28 10:39:09
13,801,2966,0.17,2025-05-28 10:39:09
14,855,2915,0.26,2025-05-28 10:39:09
15,1111,2949,0.14,2025-05-28 10:39:09
16,961,2826,0.21,2025-05-28 10:39:09
17,851,2904,0.26,2025-05-28 10:39:09
18,1014,3065,0.19,2025-05-28 10:39:09
19,1063,3143,0.22,2025-05-28 10:39:09
20,1151,3069,0.29,2025-05-28 10:39:09
21,957,2817,0.19,2025-05-28 10:39:09
22,830,2968,0.19,2025-05-28 10:39:09
23,1061,3017,0.27,2025-05-28 10:39:09
24,1037,2987,0.16,2025-05-28 10:39:09
25,1085,2883,0.21,2025-05-28 10:39:09
26,1190,2956,0.18,2025-05-28 10:39:09
27,968,3179,0.14,2025-05-28 10:39:09
28,837,3104,0.18,2025-05-28 10:39:09
29,957,2813,0.15,2025-05-28 10:39:09
30,1160,2997,0.11,2025-05-28 10:39:09
